Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 28th, 2014",default-onfarmmarket-4-3.jpg,700975,Brook-Lin Jerseys,,Linda Stone,brooklinjerseys@yahoo.com,5028570066,,,,,,,www.brook-linjerseys.blogspot.com,"445 Eagle Creek Trail, Sadieville , Kentucky 40370",Kentucky,Sadieville,445 Eagle Creek Trail,40370,-84.603351,38.430411,,
on-farm market,"Aug 3rd, 2014",default-onfarmmarket-4-3.jpg,700291,Brookview Beef,,Jenny Owens,jenny@brookviewbeef.com,859-509-4236,www.brookviewbeef.com,https://www.facebook.com/kygrassfedbeef,,,,,,"7700 Colby Road, Winchester, Kentucky 40391",Kentucky,Winchester,7700 Colby Road,40391,-84.315719,38.002120,,
on-farm market,"Aug 4th, 2014",default-onfarmmarket-4-3.jpg,700800,Coffey Farms,,Coffey Farms,coffeyfarms@windstream.net,6063486367,,www.facebook.com/coffeyfarms,,,,,,"1175 Highway 1619, Monticello, Kentucky 42633",Kentucky,Monticello,1175 Highway 1619,42633,-84.719738,36.9259869,,
on-farm market,"Feb 4th, 2017",default-onfarmmarket-4-3.jpg,701388,Second Season Produce,,Jim Farber,jcfarber@yahoo.com,8599408703,,,,,,,,"2806 KY1547, Liberty, Kentucky 42539",Kentucky,Liberty,2806 KY1547,42539,-84.980021,37.307649,,
on-farm market,"Feb 8th, 2022",default-onfarmmarket-4-3.jpg,701632,Pierce Family Farms,,Madison Pierce,madison_rogers1@icloud.com,2705857304,,https://www.facebook.com/Pierce-Family-Farms-104038342196714/,,,,,,"132 Pinetop Road, Russell Springs, Kentucky 42642",Kentucky,Russell Springs,132 Pinetop Road,42642,-84.913999,37.103273,,
on-farm market,"Jan 12th, 2021",default-onfarmmarket-4-3.jpg,701574,Echo Valley Farms LLC,,Geo Forton,echovalleyfarms2019@gmail.com,2192523261,Www.evfky.com,Echovalleyfarms.ky,,,,,,", Yosemite , Kentucky 42566",Kentucky,Yosemite,,42566,-84.785455,37.259988,,
on-farm market,"Jun 20th, 2017",default-onfarmmarket-4-3.jpg,701414,Halcomb's Knob LLC,,Deborah Messenger,halcombsknob@windstream.net,8599259936,http://www.halcombsknob.com,https://www.facebook.com/HalcombsKnob/,,,,,,"430 Wallacetown Road, Paint Lick, Kentucky 40461",Kentucky,Paint Lick,430 Wallacetown Road,40461,-84.387953,37.5475873,,
on-farm market,"May 25th, 2016",default-onfarmmarket-4-3.jpg,701339,Cow-U-Met Farm,,Glen Abney,glenabney670@gmail.com,859-227-1089,,,,,,,,"670 Townsend Valley RD, paris, Kentucky 40361",Kentucky,paris,670 Townsend Valley RD,40361,-84.326002,38.285907,,
on-farm market,"May 5th, 2021",default-onfarmmarket-4-3.jpg,701598,Triple R Pastures,,Gilbert Ruegemer,Ruegemersregenerativeranch@gmail.com,3204927643,Triplerpastures.com,,,,,,https://triplerpastures.com/blog,"15317 LEBANON CRITTENDEN RD, VERONA, Kentucky 41092",Kentucky,VERONA,15317 LEBANON CRITTENDEN RD,41092,-84.654261,38.811783,,
on-farm market,"Oct 1st, 2021",default-onfarmmarket-4-3.jpg,701617,Roaring Shoals Farm,,Erik Holbrook,roaringshoalsfarm@gmail.com,859-429-8336,https://www.roaringshoals.farm/,https://www.facebook.com/rsfbeef,,,,,,"12205 HWY 30 East, Jackson, Kentucky 41339",Kentucky,Jackson,12205 HWY 30 East,41339,-83.252581,37.581595,,
on-farm market,"Oct 20th, 2021",default-onfarmmarket-4-3.jpg,701620,Bizzell Bluff Farm,,Lynn Rushing,pianoman700@gmail.com,270-508-1191,,Bizzell Bluff Farm,,,,,,"774 Bizzell Bluff Road , Burna , Kentucky 42028",Kentucky,Burna,774 Bizzell Bluff Road,42028,-88.357927,37.244895,,
on-farm market,"Sep 16th, 2014",default-onfarmmarket-4-3.jpg,700172,Benton Family Farm,,Mary Benton,bentonfamilyfarm@aol.com,859-485-7000,Bentonfamilyfarm@aol.com,https://www.facebook.com/bentonfamilyfarm,https://www.twitter.com/bentonfarms,,,,,"11896 Old lexington Pike, Walton, Kentucky 41094",Kentucky,Walton,11896 Old lexington Pike,41094,-84.602742,38.896500,,
on-farm market,"Sep 16th, 2014",default-onfarmmarket-4-3.jpg,700298,Woodland Farm,,Kristopher Kelley,info@woodlandfarm.com,502-222-7051,woodlandfarm.com,,,,,,,"4716 , Goshen, Kentucky 40026",Kentucky,Goshen,4716,40026,-85.469026,38.460039,,
on-farm market,"Sep 25th, 2014",default-onfarmmarket-4-3.jpg,701098,High Spruce Farm,,Ellen Cole,ellyc85@gmail.com,859-559-7034,,,,,,,,"1897 Rankin Mill Rd, Falmouth , Kentucky 41040",Kentucky,Falmouth,1897 Rankin Mill Rd,41040,-84.325867,38.568334,,
on-farm market,"Sep 6th, 2020",default-onfarmmarket-4-3.jpg,701555,Dogwood Farm Natural Beef,,Toby & Debby Dulworth,dogwood@brtc.net,2702242993,https://dogwoodherefords.com/grassfed-beef,https://www.facebook.com/dogwoodfarmky,,,,,,"2492 S. Kirkman, La Center, Kentucky 42056",Kentucky,La Center,2492 S. Kirkman,42056,-88.975230,37.143082,,
