Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 20th, 2015",default-onfarmmarket-4-3.jpg,701246,Karen's Kountry Store,,South Mountain Creamery/Emily Moore,emily.moore@smcdairy.com,(301)371-8565 x 5324,www.southmountaincreamery.com,www.facebook.com/smcdairy,www.twitter.com/southmtcreamery,,,,,"8305 Bolivar Road, Middletown, Maryland 21769",Maryland,Middletown,8305 Bolivar Road,21769,-77.602960,39.4585804,,
on-farm market,"Apr 9th, 2016",default-onfarmmarket-4-3.jpg,701325,Rock Hill Orchard,,Mary Fendrick,Info@rockhillorchard.com,240-207-3732,http://www.rockhillorchard.com,https://www.facebook.com/rockhillorchard/?fref=ts,@rockhillorchard,,,,,"28600 Ridge Rd, Mount Airy, Maryland 21771",Maryland,Mount Airy,28600 Ridge Rd,21771,-77.194802,39.327127,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700835,Evermore Farm,,Ginger Myers,ginger@evermorefarm.com,443-398-6548,www.evermorefarm.com,www.facebook/evermorefarm,https://www.twitter.com/evermorefarm,,,,,"150 Rockland Road, Westminster, Maryland 21158",Maryland,Westminster,150 Rockland Road,21158,-77.048689,39.579598,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700840,Nick's Organic Farm-Potomac,,Nick Maravell,nickmaravell@comcast.net,(301) 983-2167,www.nicksorganicfarm.com,,,,,,,"8565 Horseshoe Lane, Potomac, Maryland 20854",Maryland,Potomac,8565 Horseshoe Lane,20854,-77.217849,38.9966381,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700841,Nick's Organic Farm-Buckeystown,,Nick Maravell,nickmaravell@comcast.net,(301) 983-2167,www.nicksorganicfarm.com,,,,,,,"2733 Buckeystown Pike, Adamstown, Maryland 21710",Maryland,Adamstown,2733 Buckeystown Pike,21710,-77.442373,39.310287,,
on-farm market,"Aug 25th, 2020",default-onfarmmarket-4-3.jpg,701553,Ana-Gail Farms LLC,,Mandy Legg,mandy@anagailfarms.com,410-490-2305,www.anagailfarms.com,@anagailfarms,,,,,,"1217 Perrys Corner Rd, Grasonville, Maryland 21638",Maryland,Grasonville,1217 Perrys Corner Rd,21638,-76.193302,38.935374,,
on-farm market,"Aug 8th, 2014",default-onfarmmarket-4-3.jpg,700153,Cultivale Farm,,Brad Humbert,brad@cultivale.com,410-596-1276,www.cultivale.com,https://www.facebook.com/cultivale,,,,,,"717 MULLER RD, WESTMINSTER, Maryland 21157",Maryland,WESTMINSTER,717 MULLER RD,21157,-77.022237,39.475424,,
on-farm market,"Feb 2nd, 2015",default-onfarmmarket-4-3.jpg,701203,Jehovah Jireh Farm,,Myron Horst,mhorst@jehovahjirehfarm.com,3018746181,www.Jehovahjirehfarm.com,,,,,,,"7033 Ed Sears Rd, Dickerson, Maryland 20842",Maryland,Dickerson,7033 Ed Sears Rd,20842,-77.418607,39.260721,,
on-farm market,"Jan 14th, 2019",default-onfarmmarket-4-3.jpg,701467,Shimar Farms,,Gary Pilchard,Pilchardgp@aol.com,443-880-8936,,Shi-Mar Farms,,,,,,"3017 Klej Grange Rd, Pocomoke City, Maryland 21851",Maryland,Pocomoke City,3017 Klej Grange Rd,21851,-75.456314,38.097410,,
on-farm market,"Jul 25th, 2014",default-onfarmmarket-4-3.jpg,700393,Wagon Wheel Ranch,,Brian Schiner,bschiner@aol.com,443-271-6850,www.wagonwheelranch.org,,,,,,,"661 west watersville rd, mount airy, Maryland 21771",Maryland,mount airy,661 west watersville rd,21771,-77.113815,39.3590151,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700026,"Tag Along Alpacas, LLC",,Tracy Abram,tagalongalpacas@yahoo.com,410-778-5224,www.tagalongalpacas.com,https://www.facebook.com/tag.alpacas,,,,,,"8139 Broadneck Road, Chestertown, Maryland 21620",Maryland,Chestertown,8139 Broadneck Road,21620,-76.125663,39.200861,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700038,Shaw Orchards,,Barron Shaw,info@shaworchards.com,717-382-8879,www.shaworchards.com,https://www.facebook.com/shaworchards,,,,,www.shaworchards.com/blog,"5594 Norrisville Rd, White Hall, Maryland 21161",Maryland,White Hall,5594 Norrisville Rd,21161,-76.547311,39.721081,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700068,Willow Oak Flower & Herb Farm,,Heather Carr,contact@willowoakherbs.com,410-551-2237,www.willowoakherbs.com,https://www.facebook.com/pages/Willow-Oak-flower-and-Herb-Farm/240128883193?v=info,,,,,,"8109 Telegraph Rd, Severn, Maryland 21144",Maryland,Severn,8109 Telegraph Rd,21144,-76.691217,39.112864,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700132,"Habanera Farm, LLC",,Chris Himmel,Habanerafarm@habanerafarm.com,410-873-2953,http://www.habanerafarm.com/,https://www.facebook.com/habanerafarm,,,,,,"2916 Whitehaven Road, Tyaskin, Maryland 21865",Maryland,Tyaskin,2916 Whitehaven Road,21865,-75.795105,38.2744420,,
on-farm market,"Jul 6th, 2017",default-onfarmmarket-4-3.jpg,701396,Unity Church Hill,,Michael Jensen,michael@unitylandscape.com,410-556-6010,http://unitynursery.com/,https://www.facebook.com/unitychurchhill.nursery,,,,,http://www.unitychurchhillnursery.com/blog/,"3621 Church Hill Road, Church Hill, MD 21623, Church Hill, Maryland 21623",Maryland,Church Hill,"3621 Church Hill Road, Church Hill, MD 21623",21623,-76.007155,39.1262217,,
on-farm market,"Jun 14th, 2015",default-onfarmmarket-4-3.jpg,701271,Chase's Produce,,Margaret Chase,chasemr@yahoo.com,443-883-6425,,,,,,,,"2857  Davidsonville Rd, Davidsonville, Maryland 21035",Maryland,Davidsonville,2857  Davidsonville Rd,21035,0.437050,0.289763,,
on-farm market,"Mar 17th, 2016",default-onfarmmarket-4-3.jpg,701320,Citizens of Earth,,Michael Sheehan,citizens@thecitizensofearth.org,2404829109,thecitizensofearth.org,https://www.facebook.com/Citizens-of-Earth-466859626793595/,,,,,,"12600 Piedmont Road , Clarksburg, Maryland 20871",Maryland,Clarksburg,12600 Piedmont Road,20871,-77.260997,39.2434310,,
on-farm market,"Mar 19th, 2015",default-onfarmmarket-4-3.jpg,701127,Cabin Creek Heritage Farm,,Amanda Hill Kauffmann,amanda@cabincreekheritagefarm.com,301-430-0170,www.cabincreekheritagefarm.com,www.facebook.com/cabincreekheritagefarm,twitter.com   @PasturedFarmer,,,,,"18235 Clagett Landing Road, Upper Marlboro, Maryland 20774",Maryland,Upper Marlboro,18235 Clagett Landing Road,20774,-76.687062,38.873444,,
on-farm market,"Mar 19th, 2015",default-onfarmmarket-4-3.jpg,701165,A. H. Herb'n Craft Farm,,Fran Kisser,frankisser@gmail.com,4107259163,,,,,,,,"13433 Ocean Gateway (US Route 50), Wye Mills, Maryland 21679",Maryland,Wye Mills,13433 Ocean Gateway (US Route 50),21679,-76.062360,38.936137,,
on-farm market,"Mar 20th, 2015",default-onfarmmarket-4-3.jpg,700980,Columbine Manor,,Columbine Manor,columbinemanor@myactv.net,301-223-1156,cm-longhornbeef.com,,,,,,,"16290 Spielman Road, Williamsport , Maryland 21795",Maryland,Williamsport,16290 Spielman Road,21795,-77.808900,39.5638270,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700299,Whitmore Farm,,Will Morrow,info@whitmorefarm.com,,www.whitmorefarm.com,,,,,,,"10720 Dern Road, Emmitsburg, Maryland 21727",Maryland,Emmitsburg,10720 Dern Road,21727,-77.291925,39.6551050,,
on-farm market,"Mar 24th, 2015",default-onfarmmarket-4-3.jpg,700349,"Gaver Farm, LLC",,Lisa Gaver,GaverFarm@gmail.com,301-865-3515,www.gaverfarm.com,www.facebook.com/gaverfarm,,,,,,"5501 Detrick Road, Mt. Airy, Maryland 21771",Maryland,Mt. Airy,5501 Detrick Road,21771,-77.240356,39.382212,,
on-farm market,"Mar 24th, 2015",default-onfarmmarket-4-3.jpg,701232,Hilton's Farm & Garden,,Robert & Tarra Hilton,agttlp@aol.com,301-704-2418,,www.facebook.com/HiltonsFarmandGarden,,,,,,"24801 Burnt Hill Road, Clarksburg, Maryland 20871",Maryland,Clarksburg,24801 Burnt Hill Road,20871,-77.257396,39.264681,,
on-farm market,"Mar 25th, 2015",default-onfarmmarket-4-3.jpg,701147,Clark's Elioak Farm,,Nora Crist,clarksbeef@gmail.com,410-440-5080,http://clarklandfarm.com/,https://www.facebook.com/ClarksProduce,,,,,,"10500 Clarksville Pike, Ellicott CIty, Maryland 21042",Maryland,Ellicott CIty,10500 Clarksville Pike,21042,-76.876279,39.235883,,
on-farm market,"Mar 26th, 2015",default-onfarmmarket-4-3.jpg,701049,Baugher's Orchard & Farm,,Dottie Dunn,dottie@baughers.com,410-848-5541,www.baughers.com,baughers,,,,,,"1015 Baugher Road, Westminster, Maryland 21158",Maryland,Westminster,1015 Baugher Road,21158,-77.050202,39.6020820,,
on-farm market,"Mar 31st, 2015",default-onfarmmarket-4-3.jpg,700820,Accokeek Foundation - Ecosystem Farm Market,,Holli Elliott,helliott@accokeek.org,301-283-2113,www.accokeekfoundation.org,www.facebook.com/accokeekfoundation,twitter.com/Accokeek,,,,,"3400 Bryan Point Road, Accokeek, Maryland 20607",Maryland,Accokeek,3400 Bryan Point Road,20607,-77.060180,38.691496,,
on-farm market,"May 4th, 2016",default-onfarmmarket-4-3.jpg,701333,Butler's Orchard,,Tyler Butler,info@BultersOrchard.com,3014280444,http://www.butlersorchard.com/,https://www.facebook.com/ButlersOrchard1,https://twitter.com/ButlersOrchard,,,,,"22222 Davis Mill Road, Germantown, Maryland 20876",Maryland,Germantown,22222 Davis Mill Road,20876,-77.223226,39.221380,,
on-farm market,"May 9th, 2015",default-onfarmmarket-4-3.jpg,700018,Thorne Farm,,Greg Thorne,thornefarm@yahoo.com,443-386-0244,http://www.thornefarm.com,https://www.facebook.com/thornefarm,,,,,,"1130 Martin Drive, Westminster, Maryland 21157",Maryland,Westminster,1130 Martin Drive,21157,-76.956602,39.598136,,
on-farm market,"Sep 16th, 2014",default-onfarmmarket-4-3.jpg,700245,Pop's Old Place,,Darlene Goehringer,PopsOldPlace@gmail.com,410-924-1646,www.PopsOldPlace.com,Pop\'s Old Place,,,,,,"4657 Skinners Run Road, Hurlock, Maryland 21643",Maryland,Hurlock,4657 Skinners Run Road,21643,-75.857703,38.6853330,,
on-farm market,"Sep 22nd, 2014",default-onfarmmarket-4-3.jpg,701091,Whitelock Community Farm,,Alison Worman,farmer@whitelockfarm.org,4102056572,www.whitelockfarm.org,,,,,,,"930 Whitelock Street, Baltimore, Maryland 21217",Maryland,Baltimore,930 Whitelock Street,21217,-76.634006,39.314492,,
on-farm market,"Sep 4th, 2021",default-onfarmmarket-4-3.jpg,701613,Quarter Acre Farm,,Andrea Davis-Cetina,quarteracre.sonoma@gmail.com,4155333106,https://quarteracrefarmsonoma.com/,https://www.facebook.com/quarterAfarm,,,,,,"100 North Harrison Street, Easton, Maryland 21601",Maryland,Easton,100 North Harrison Street,21601,-76.075492,38.776542,,
