Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 11th, 2015",default-onfarmmarket-4-3.jpg,701244,Raven's Roost Farm,,DOUGLAS BEDELL,bedell.doug@gmail.com,2313506448,,https://www.facebook.com/pages/Ravens-Roost-Farm/244514162293833,,,,,,"2398 Vandermark Rd, Bellaire, Michigan 49615",Michigan,Bellaire,2398 Vandermark Rd,49615,-85.241874,44.9987500,,
on-farm market,"Apr 1st, 2015",default-onfarmmarket-4-3.jpg,700926,Hickory Corners Homestead,,Layne Hagerman,hickorycornershomestead@gmail.com,269-615-1542,www.hickorycornershomestead.com,www.facebook.com/HickoryCornersHomestead,,,,,,"12751 E Baseline Rd, Hickory Corners , Michigan 49060",Michigan,Hickory Corners,12751 E Baseline Rd,49060,-85.382163,42.419918,,
on-farm market,"Apr 22nd, 2022",onfarmmarket_700137_13898_20220422133913.png,700137,GCC Organics,A real down to earth experience. We practice truth in food as we don\'t spin what we do.,Delbert Garrett,info@vraefoods.com,989-718-8723,https://vraefoods.com,https://www.facebook.com/vraefoods,,,,,,"431 S Littlefield Rd, Mount Pleasant, Michigan 48858",Michigan,Mount Pleasant,431 S Littlefield Rd,48858,-84.948278,43.633948,,
on-farm market,"Apr 27th, 2016",default-onfarmmarket-4-3.jpg,701288,Galloway's Red Clay Ranch,,Joanne Galloway,galloway.joanne@gmail.com,906 322 7501,,Galloway\'s Red Clay Ranch,,,,,,"5696 W Townline Rd, Pickford, Michigan 49774",Michigan,Pickford,5696 W Townline Rd,49774,-84.481615,46.1582650,,
on-farm market,"Apr 29th, 2016",default-onfarmmarket-4-3.jpg,701334,Peaceful Produce,,Amy Ball,peacefulproducefarm@gmail.com,2314361221,,Peaceful Produce,,,,,,"3565 Elder Rd., Carp Lake, Michigan 49718",Michigan,Carp Lake,3565 Elder Rd.,49718,-84.843103,45.709447,,
on-farm market,"Aug 12th, 2014",default-onfarmmarket-4-3.jpg,700603,Papaxe2x80x99s Pumpkin Patch,,william miller jr.,papaspumpkinpatch@yahoo.com,989-773-4345,papaspumpkinpatch@yahoo.com,,,,,,,"3909 S Summerton Road, Mt. Pleasant, Michigan 48858",Michigan,Mt. Pleasant,3909 S Summerton Road,48858,-84.719181,43.571437,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700062,Piggott's Farm Market & Bakery,,George McManus IV,info@piggottsfarmmarket.com,269-876-9269,www.piggottsfarmmarket.com,https://www.facebook.com/piggottsfarmmarketbakery,https://twitter.com/piggottsproduce,,,,,"3824 E. Napier Ave., Benton Harbor, Michigan 49022",Michigan,Benton Harbor,3824 E. Napier Ave.,49022,-86.365637,42.0906298,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700164,Fresh Whole Rabbit,,Catalaya\'s Rabbitry,catalayarabbitry@yahoo.com,989-400-2407,www.catalayarabbitry.weebly.com,https://www.facebook.com/catalayasrabbitry,,,,,,"Friesian Lane, Lakeview, Michigan 48850",Michigan,Lakeview,Friesian Lane,48850,-85.253005,43.349196,,
on-farm market,"Aug 15th, 2014",default-onfarmmarket-4-3.jpg,700646,Nye's Apple Barn and Farms,,Angela Thompson,nyesapplebarn@hotmail.com,(269) 429-0596,www.nyesapplebarn.com,www.facebook.com/NyesAppleBarn,,,,,,"3151 Niles Avenue (M63), Saint Joseph, Michigan 49085",Michigan,Saint Joseph,3151 Niles Avenue (M63),49085,-86.459915,42.060280,,
on-farm market,"Aug 15th, 2014",default-onfarmmarket-4-3.jpg,700783,Friends Farm,,Mark Mortenson,friendsministry@yahoo.com,231-839-8816,friendsministry.net,https://www.facebook.com/FriendsMinistryLC,,,,,,"3728 S. Morey Road, Lake City, Michigan 49651",Michigan,Lake City,3728 S. Morey Road,49651,-85.215038,44.2847493,,
