Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 14th, 2022",onfarmmarket_701589_12525_20220414154311.png,701589,Woven Meat Co,,Keegan Knobloch,info@wovenmeats.com,3203491002,https://wovenmeats.com/,https://www.facebook.com/wovenmeatco/,,https://www.instagram.com/wovenmeatco/,,,,"21714 10th St, Winthrop, Minnesota 55396",Minnesota,Winthrop,21714 10th St,55396,-94.431189,44.630844,,
on-farm market,"Aug 12th, 2014",default-onfarmmarket-4-3.jpg,700640,"Fireside Orchard and Gardens, Inc.",,Todd Harvey,apples@firesideorchard.com,507-663-1376,http://www.firesideorchard.com,https://www.facebook.com/pages/Fireside-Orchard/142630532262,,,,,,"2225 Lonsdale Blvd E., Northfield, Minnesota 55057",Minnesota,Northfield,2225 Lonsdale Blvd E.,55057,-93.262322,44.471100,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700636,Live Flowers LLC,,Renee Arcand,arkey1@frontiernet.net,651-433-5075,www.minnesotaliveflowers.com,https://www.facebook.com/LiveFlowersLLC,,,,,,"15677 May Avenue, Marine On St. Croix, Minnesota 55047",Minnesota,Marine On St. Croix,15677 May Avenue,55047,-92.853277,45.1770790,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700295,Januschka's Farm Fresh Meat,,Jerry and Jackie Januschka,jackiejanuschka@hotmail.com,320-630-1430,,,,,,,,"16539 183rd Street, Little Falls, Minnesota 56345",Minnesota,Little Falls,16539 183rd Street,56345,-94.311759,46.0265527,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700864,Living Food Farm,,Ron & Shirley Johnson,ron@livingfoodfarm.com,218-212-1559,www.livingfoodfarm.com,https://www.facebook.com/livingfoodfarm/timeline?ref=page_internal,,,,,,"41587 Co. Rd. 19, Deer River, Minnesota 56636",Minnesota,Deer River,41587 Co. Rd. 19,56636,-93.744139,47.3912040,,
on-farm market,"Aug 24th, 2014",default-onfarmmarket-4-3.jpg,700696,Fischers Croix Farm Orchard,,John Leadholm,,651.437.7126,fischerscroixfarmorchard.com,,,,,,,"12971 St. Croix Trail  S., Hastings, Minnesota 55033",Minnesota,Hastings,12971 St. Croix Trail  S.,55033,-92.816233,44.761736,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700391,Byrne Farm,,James Byrne,byrnefarmelk@yahoo.com,507-358-6505,Byrnefarm.com,,,,,,,"11026 CoRd 113 NW, Pine Island, Minnesota 55963",Minnesota,Pine Island,11026 CoRd 113 NW,55963,-92.658230,44.175289,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700428,Pine Winder Blueberry Farm,,,windryder@tds.net,218-587-2752,www.pinewinder.com,,,,,,,"1824 36th Avenue South West, Pine River, Minnesota 56474",Minnesota,Pine River,1824 36th Avenue South West,56474,-94.472502,46.739855,,
on-farm market,"Aug 4th, 2014",default-onfarmmarket-4-3.jpg,700505,Wegners Tree Farm,,carl,cwegner2@msn.com,(218) 326-5965,,,,,,,,"19600 Cardinal Drive, Grand Rapids, Minnesota 55744",Minnesota,Grand Rapids,19600 Cardinal Drive,55744,-93.399751,47.156081,,
on-farm market,"Feb 17th, 2022",default-onfarmmarket-4-3.jpg,701635,Blue Dirt Farm,,Scott Haase,scott@bluedirtfarm.com,507-526-4729,https://bluedirtfarm.com/,https://www.facebook.com/bluedirtfarm,,,,,,"8574 377th Avenue, Blue Earth, Minnesota 56013",Minnesota,Blue Earth,8574 377th Avenue,56013,-94.112340,43.610897,,
