Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 11th, 2022",onfarmmarket_701606_12510_20220412030613.png,701606,Mexico Premium Meats,,Melinda Bastian,mexicopremiummeats@gmail.com,5732536104,http://mexicopremiummeats.com,https://www.facebook.com/MexicoPremiumMeats,,,,,,"26189 Audrain Rd 408, Mexico, Missouri 65265",Missouri,Mexico,26189 Audrain Rd 408,65265,-91.815349,39.176942,,
on-farm market,"Apr 18th, 2017",default-onfarmmarket-4-3.jpg,701402,Palme Acres Farms,,Douglas W. Palme,info@palmeacres.com,314-677-5586,http://www.palmeacres.com,,,,,,,"12650 State Highway M, Wright City, Missouri 63390",Missouri,Wright City,12650 State Highway M,63390,-91.012318,38.785607,,
on-farm market,"Apr 20th, 2015",default-onfarmmarket-4-3.jpg,700518,Millers Berry Farm,,Gerald and Connie Miller,circle4connie@yahoo.com,417-859-4373,,Millers Berry Farm,,,,,,"11425 Street Highway KK, Marshfield, Missouri 65706",Missouri,Marshfield,11425 Street Highway KK,65706,-92.927052,37.294758,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700301,Thistle Hill Plantation,,Bruce Denslow,INFO@THISTLEHILLPLANTATION.COM,314-739-0001,thistlehillplantation.com,,,,,,,"21505 Hwy OO, Eolia, Missouri 63344",Missouri,Eolia,21505 Hwy OO,63344,-96.690674,36.544949,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700836,Hinkebein Hills Farm,,Karlios Hinkebein / Hinkebein Hills Farm,hinkebeinhillsfarm@wildblue.net,573-332-8530,,https://www.facebook.com/hinkebeins?rf=110698638992813,,,,,,"434 Whispering Wind Lane, Cape Girardeau, Missouri 63701",Missouri,Cape Girardeau,434 Whispering Wind Lane,63701,-89.494019,37.371078,,
on-farm market,"Aug 13th, 2019",default-onfarmmarket-4-3.jpg,701489,Davis Farm,,Davis Farm,charliedavisfarms@gmail.com,6608339329,,,,,,,,"13948 Highway 15, Paris, Missouri 65275",Missouri,Paris,13948 Highway 15,65275,-91.997360,39.394888,,
on-farm market,"Aug 20th, 2014",default-onfarmmarket-4-3.jpg,700852,Centennial Farms and Orchard,,Robert Knoernschild,centfarmaug@aol.com,636 228-4338,CENTENNIAL FARMS.BIZ,,,,,,,"199 Jackson St., Augusta , Missouri 63332",Missouri,Augusta,199 Jackson St.,63332,-90.887860,38.5742400,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700061,PlayHaven Farm LLC,,Bobbi Walker,bobbi@playhavengreen.com,816-304-3317,http://www.playhavenfarm.com/,https://www.facebook.com/PlayHavenFarm,,,,,,"3194 Oakwood Dr., Napoleon, Missouri 64074",Missouri,Napoleon,3194 Oakwood Dr.,64074,-94.048516,39.0615522,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700867,"Meramec Bison Farm, LLC",,"Meramec Bison Farm, LLC",Bison@fidnet.com,573-247-2775,www.meramecbison.com,https://www.facebook.com/pages/Meramec-Bison-Farm-LLC/195576180525013,,,,,,"603 South Main Street, Salem, Missouri 65560",Missouri,Salem,603 South Main Street,65560,-91.535215,37.638961,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700872,Ozark Country Creations,,Dennis Hatfield,dhatfield@mo-net.com,417 476-5454,,www.facebook.com/hatfieldtomatofarm,,,,,,"30226 Holly Rd, Pierce City, Missouri 65723",Missouri,Pierce City,30226 Holly Rd,65723,-94.096171,36.9292199,,
