Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 6th, 2021",default-onfarmmarket-4-3.jpg,701595,Roaming Bison Ranch,,Laura Wheeler,info@roamingbisonranch.com,14065465197,https://roamingbisonranch.com,https://www.facebook.com/theroamingbisonranch,,,,,,"60756 Watson Road, Saint Ignatius, Montana 59865",Montana,Saint Ignatius,60756 Watson Road,59865,-114.06981,47.330413,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700093,Northern Rocky Mountain Alpacas,,Dennis L. Duenas,dennis@nrmalpacas.com,406-600-3835,www.NRMAlpacas.com,https://www.facebook.com/NRMAlpacas,,,,,,"1406 Bear Canyon Rd, Bozeman, Montana 59715",Montana,Bozeman,1406 Bear Canyon Rd,59715,-110.93765,45.6367630,,
on-farm market,"Feb 19th, 2015",default-onfarmmarket-4-3.jpg,701214,Mill Crick Farm,,Mill Crick Farm,millcrickfarm@gmail.com,406 961 8861,,,,,,,,"153 Dutch Hill RD, Hamilton, Montana 59840",Montana,Hamilton,153 Dutch Hill RD,59840,-114.16000,46.312555,,
on-farm market,"Jan 13th, 2022",default-onfarmmarket-4-3.jpg,701626,Uncommon Beef LLC,,Catherine Kirchner,catherine@uncommonbeef.com,4067402510,www.uncommonbeef.com,https://www.facebook.com/uncommonbeef/,,,,,,", Big Timber, Montana 59011",Montana,Big Timber,,59011,-109.94808,45.834528,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700237,Cranky Carl's Farm,,Gretchen Kidwell,sales@crankycarlsfarm.com,406-359-1447,Http://wwww.crankycarlsfarm.com,,,,,,,"443 Canyon Creek Rd, Eureka, Montana 59917",Montana,Eureka,443 Canyon Creek Rd,59917,-114.99831,48.909427,,
on-farm market,"Jun 2nd, 2017",default-onfarmmarket-4-3.jpg,701413,Kyhl Farms,,Paula Kyhl,paula@kyhlfarms.com,4063582483,www.kyhlfarms.com,www.facebook.com/KyhlFarmRanch,,,,,,"65 Haxton Lane, Melstone , Montana 59054",Montana,Melstone,65 Haxton Lane,59054,-107.79400,46.6918687,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700265,Going to the Sun Fiber Mill LLC,,Diana Blair,montanamill@gmail.com,406-756-6772,www.gttsfibermill.com,https://www.facebook.com/pages/Going-to-the-Sun-Fiber-Mill-LLC/294302997264439,,,,,,"805 Kienas Rd, Kalispell, Montana 59901",Montana,Kalispell,805 Kienas Rd,59901,-114.44623,48.1933980,,
on-farm market,"May 4th, 2015",default-onfarmmarket-4-3.jpg,701253,Cherry Creek Gardens & Farms,,Helen Tobiason,cherrycreekfarms116@yahoo.com,406-212-0063,cherrycreekgardens.com,,,,,,,"116 Treweek Dr, Kalispell , Montana 59901",Montana,Kalispell,116 Treweek Dr,59901,-114.24033,48.114591,,
on-farm market,"Sep 16th, 2014",default-onfarmmarket-4-3.jpg,700372,Starvation Flats Boer Goats,,Debi Kirschten,debnmike@midrivers.com,406-778-3270,www.starvationflatsboergoats.com/,,,,,,,"102 Sheep Corner Rd, Baker, Montana 59313",Montana,Baker,102 Sheep Corner Rd,59313,-104.17730,46.3684280,,
on-farm market,"Sep 17th, 2014",default-onfarmmarket-4-3.jpg,700165,Carbonado Farm LLC,,William Barnes,carbonadofarm@mtlamb.com,406-962-9032,httsp://www.mtlamb.com,https://www.facebook.com/CarbonadoFarm,,,,,,", Joliet, Montana 59041",Montana,Joliet,,59041,-109.00900,45.464550,,
