Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 25th, 2015",default-onfarmmarket-4-3.jpg,700659,Green River Farm Millspring,,Dan Servideo,greenriverfarm@windstream.net,828-894-3431,,,,,,,,"10103 Highway 108 E, Mill Spring, North Carolina 28756",North Carolina,Mill Spring,10103 Highway 108 E,28756,-82.075981,35.325402,,
on-farm market,"Apr 25th, 2020",default-onfarmmarket-4-3.jpg,701520,The Farm Dobson,,Mayghan Watson,hey@letsgotothefarm.com,336-817-5208,www.letsgotothefarm.com,www.facebook.com/thefarmdobson,,,,,,"769 Bray Ford Rd, Dobson , North Carolina 27017",North Carolina,Dobson,769 Bray Ford Rd,27017,-80.666138,36.334153,,
on-farm market,"Aug 11th, 2014",default-onfarmmarket-4-3.jpg,700398,BirdBrain Ostrich Ranch Inc.,,Pat Roberts Mike Todd,bor@charter.net,704-483-1620,www.birdbrainranch.com,,,,,,,"6691 Little Mountain Road, Sherrills Ford, North Carolina 28673",North Carolina,Sherrills Ford,6691 Little Mountain Road,28673,-81.030019,35.595735,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700320,Grove Winery,,Max Lloyd,info@grovewinery.com,336-584-4060,GroveWinery.com,https://www.facebook.com/pages/Grove-Winery-Vineyards/54085131096,https://www.twitter.com/GroveWinery,,,,,"7360 Brooks Bridge Rd, Gibsonville, North Carolina 27249",North Carolina,Gibsonville,7360 Brooks Bridge Rd,27249,-79.554995,36.218335,,
on-farm market,"Aug 20th, 2014",default-onfarmmarket-4-3.jpg,700855,Devil Dog Orchard,,Larry Huffman,lindahuffman52@gmail.com,3364910382,,,,,,,,"771 Hwy 150, Reidsville,, North Carolina 27320",North Carolina,"Reidsville,",771 Hwy 150,27320,-79.603397,36.260555,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700890,Foust Family Farms,,Ron Foust,,336-697-1279,www.FoustFamilyFarms.com,,,,,,,"3625 Old Julian Rd, Whitsett, North Carolina 27377",North Carolina,Whitsett,3625 Old Julian Rd,27377,-79.624879,36.000752,,
on-farm market,"Aug 23rd, 2014",default-onfarmmarket-4-3.jpg,700897,Berry Busy Farm LLC,,Berry Busy Farm LLC,berrybusyfarm@windstream.net,berrybusyfarm@windst,,,,,,,,"8796 Cottonville Road, Norwood, North Carolina 28128",North Carolina,Norwood,8796 Cottonville Road,28128,-80.180363,35.2200460,,
on-farm market,"Aug 24th, 2015",default-onfarmmarket-4-3.jpg,700260,Herndon Hills Farm,,Nancy Herndon,nancy_herndon@yahoo.com,919-544-3313,,https://www.facebook.com/HerndonHillsFarm,,,,,,"7110 Massey Chapel Road (Barbee Road), Durham, North Carolina 27713",North Carolina,Durham,7110 Massey Chapel Road (Barbee Road),27713,-78.932214,35.900638,,
on-farm market,"Aug 25th, 2014",default-onfarmmarket-4-3.jpg,700937,Happy Acres Farm,,James Matthews,james@happyacresfarm.net,252-537-8537,http://www.happyacresfarm.net,https://www.facebook.com/pages/Happy-Acres-Farm/227602303939750,,,,,,"210 Wright Rd., Roanoke Rapids, North Carolina 27870",North Carolina,Roanoke Rapids,210 Wright Rd.,27870,-77.775615,36.393834,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700591,Cedar View Farm,,Roscoe Poe,poehouses@aol.com,336-202-7771,7466 Richland Ch. RD.,,,,,,,"7466 Richland Church Road, Liberty, North Carolina 27298",North Carolina,Liberty,7466 Richland Church Road,27298,-79.550016,35.897453,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700946,"Twin Oaks Heritage Farm, LLC",,Dorothy Adkins,twinoaksfarm2012@yahoo.com,910-892-PORK,www.graysonspremiumpork.com,https://www.facebook.com/graysonspremiumpork/timeline,,,,,,"193 Old US 421 Hwy S , Dunn, North Carolina 28334",North Carolina,Dunn,193 Old US 421 Hwy S,28334,-78.562895,35.255078,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700951,Parker Farm,,Ken & Michelle Parker,mkpark7896@centurylink.net,252-671-9695,,Parkerfarm1@hotmail.com,,,,,,"230 Goshen Rd, Pollocksville, North Carolina 28573",North Carolina,Pollocksville,230 Goshen Rd,28573,-77.237373,35.0129475,,
on-farm market,"Aug 28th, 2014",default-onfarmmarket-4-3.jpg,700970,Muddy Boots Farms,,Kent Lowder,muddybootsfarms@gmail.com,704-794-6950,www.muddybootsfarms.com,,,,,,,"20750 NC 73 Hwy, Albemarle , North Carolina 28001",North Carolina,Albemarle,20750 NC 73 Hwy,28001,-80.318464,35.3816927,,
on-farm market,"Aug 29th, 2014",default-onfarmmarket-4-3.jpg,700981,Wood Family Farm,,Darlene Wood,darlene@woodfamilyfarmnc.com,919-894-3007,www.woodfamilyfarmnc.com,,,,,,,"3198 Hannah Creek Road, Benson, North Carolina 27504",North Carolina,Benson,3198 Hannah Creek Road,27504,-78.493436,35.3596940,,
on-farm market,"Aug 2nd, 2014",default-onfarmmarket-4-3.jpg,700503,Fowler Farms Fresh Produce,,Darla Fowler,darlafowler@yahoo.com,(910 )653-5795,,,,,,,,"669 Wright Road, Tabor City, North Carolina 28463",North Carolina,Tabor City,669 Wright Road,28463,-78.808493,34.0945770,,
on-farm market,"Aug 5th, 2014",default-onfarmmarket-4-3.jpg,700808,Hawkeye Farms,,Larry Chavis,lchavis1hicc@aol.com,910-843-9484,http://hawkeyeindianculturalcenter.com,https://www.facebook.com/HawkeyeIndianCulturalCenterRedSpringsNC,,,,,,", Red Springs , North Carolina",North Carolina,Red Springs,,,-79.206190,34.895259,,
on-farm market,"Feb 7th, 2020",default-onfarmmarket-4-3.jpg,701502,Flag Branch Farm,,Elizabeth Lee,Lizbeatles424@yahoo.com,7043200853,,,,,,,,", Monroe, North Carolina",North Carolina,Monroe,,,-80.550290,34.988821,,
on-farm market,"Jan 13th, 2022",default-onfarmmarket-4-3.jpg,701627,Farm to Vittles,,April,farmtovittles@yahoo.com,910-663-5640,https://farmtovittles.square.site/,,,,,,,", Delco, North Carolina",North Carolina,Delco,,,-78.255756,34.274121,,
on-farm market,"Jan 3rd, 2015",default-onfarmmarket-4-3.jpg,700741,Creekside Farm,,Kathy Bennek,info@creeksidefarmberries.com,919-965-9969,www.creeksidefarmberries.com,Creekside Farm,,,,,,"300 Pine Tree Road, Selma, North Carolina 27576",North Carolina,Selma,300 Pine Tree Road,27576,-78.299179,35.6856420,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700411,Apple Orchard Farm,,Arthur Duckworth,appleorchardfarm@bellsouth.net,704-718-4923,appleorchardfarmnc.com,,,,,,,"640 Mariposa Road, Stanley, North Carolina 28164",North Carolina,Stanley,640 Mariposa Road,28164,-81.088517,35.3848569,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700742,Coinjock Creek Farms,,"John H Snowden, III",info@coinjockcreek.com,252-267-3332,www.coinjockcreek.com/,www.facebook.com/coinjockcreek,www.twitter.com/coinjockcreek,,,,,"194 Maple Road, Maple, North Carolina 27956",North Carolina,Maple,194 Maple Road,27956,-76.011026,36.411586,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700415,Renston Garden Market,,Andy McLawhorn,andyrenston@hotmail.com,252-756-3343,renstongardenmarket.com,,,,,,,"4024 Highway 903 South, Winterville, North Carolina 28590",North Carolina,Winterville,4024 Highway 903 South,28590,-77.460700,35.507746,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700553,Summerberry Farm,,Steve French,sfrench2@ctc.net,704-721-0670,,,,,,,,"3430 Rimer Road, Concord, North Carolina 28025",North Carolina,Concord,3430 Rimer Road,28025,-80.486933,35.462955,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700580,Sunrise Farms,,Denise Cole,rcole4@atmc.net,910-231-0122,,,,,,,,"5521 Rl Lewis Lane, Bolivia, North Carolina 28422",North Carolina,Bolivia,5521 Rl Lewis Lane,28422,-78.087888,34.0702920,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700638,Justus Orchard,,Margo Justus,Apples@JustusOrchard.com,828-243-2420 or 828-,www.justusorchard.com,https://www.facebook.com/pages/Justus-Orchard/119052544801944,,,,,,"187 Garren Road, Hendersonville, North Carolina 28792",North Carolina,Hendersonville,187 Garren Road,28792,-82.380306,35.397792,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700723,Southside Farms,,,info@southsidefarms.com,(252) 946-2487,www.southsidefarms.com,https://www.facebook.com/pages/Southside-Farms/138931649490630,,,,,,"320 Harding Lane, Chocowinity, North Carolina 27817",North Carolina,Chocowinity,320 Harding Lane,27817,-77.101552,35.461994,,
