Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700633,Lower 35 Farm Stand,,Rickie Bauer,Bauer5681@aol.com,603-520-2640,,,,,,,,"Hunkins Pond Road, Sanbornton, New Hampshire 03269",New Hampshire,Sanbornton,Hunkins Pond Road,03269,-71.546131,43.509974,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700513,RoseMartin Farms,,RoseMartin Farm,cmartinchas@surfbest.net,603-837-3045,,,,,,,,"960 Whitefield Road (route 142), Dalton, New Hampshire 3598",New Hampshire,Dalton,960 Whitefield Road (route 142),3598,-71.694809,44.4158924,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700887,Dietz's Farm,,Robert Diertz,maldenpd@msn.com,603-694-2041,,,,,,,,"1028 Main Rd, Chatham , New Hampshire 03813",New Hampshire,Chatham,1028 Main Rd,03813,-71.006856,44.1648428,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700889,Cornucopia Farm,,Cheryl Frey,Ckordas@mcttelecom.com,(603)848-2630,http://www.cornucopiafarmnh.com,,,,,,,"53 Woodview Heights, Bradford, New Hampshire 03221",New Hampshire,Bradford,53 Woodview Heights,03221,-71.977336,43.263441,,
on-farm market,"Aug 23rd, 2014",default-onfarmmarket-4-3.jpg,700892,Jennings Family Farm,,Lyn Jennings,ljjenningsmv@comcast.net,603-672-1281,,https://www.facebook.com/pages/Jennings-Family-Farm/207505105929625,,,,,,"58 Weston Hill Road, Mont Vernon, New Hampshire 03057",New Hampshire,Mont Vernon,58 Weston Hill Road,03057,-71.663603,42.9106738,,
on-farm market,"Aug 25th, 2014",default-onfarmmarket-4-3.jpg,700921,Windy Hill Natural Beef,,Windy Hill Natural Beef,windyhill038@hotmail.com,603-383-8917,www.windyhillbandb.com/beef.php,,,,,,,"19 Windy Hill Dr, Jackson, New Hampshire",New Hampshire,Jackson,19 Windy Hill Dr,,-71.153857,44.172492,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700394,Broadview Farm,,Sharon McKay,broadviewfarm@hotmail.com,603-286-9423,www.broadviewfarm.com,,,,,,,"37 March Road, Sanbornton, New Hampshire 3269",New Hampshire,Sanbornton,37 March Road,3269,-71.593585,43.478446,,
on-farm market,"Aug 5th, 2014",default-onfarmmarket-4-3.jpg,700809,Huntoon Farm,,Donna Sprague,huntoonfarm@myfairpoint.net,603-768-5579,huntoonfarm.com,https://www.facebook.com/HuntoonFarm,,,,,,"46 Huntoon Road, Danbury, New Hampshire 03230",New Hampshire,Danbury,46 Huntoon Road,03230,-71.860923,43.512655,,
on-farm market,"Dec 13th, 2022",default-onfarmmarket-4-3.jpg,701212,Hemingway Farms,,Amy Hemingway,amy.hemingway@gmail.com,603-826-3336,www.hemingwayfarms.com,Hemingway Farms,,,,,,"1815 Claremont Road, Charlestown, New Hampshire 03603",New Hampshire,Charlestown,1815 Claremont Road,03603,-72.397229,43.283646,April to December,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Maple products, Nursery stock"
on-farm market,"Dec 23rd, 2014",default-onfarmmarket-4-3.jpg,701182,"Old Orchard farm, LLC",,"Old Orchard farm, LLC",ggcornwell@gmail.com,6038660464,http://www.oldorchard.farm/,https://www.facebook.com/pages/Old-Orchard-Farm-LLC/1402594990003111,,,,,,"42 Nute Road, Madbury, New Hampshire 03823",New Hampshire,Madbury,42 Nute Road,03823,-70.975992,43.185385,,
on-farm market,"Feb 28th, 2015",default-onfarmmarket-4-3.jpg,700133,Grand View Farm,,Elizabeth Kelley,gvfarms1@gmail.com,6036625421,http://grandviewfarm.blogspot.com/,https://www.facebook.com/gvfarms1,,,,,,"151 Tasker Hill Road, Conway, New Hampshire 03818",New Hampshire,Conway,151 Tasker Hill Road,03818,-71.117469,43.969910,,
on-farm market,"Jul 22nd, 2020",default-onfarmmarket-4-3.jpg,701538,Market & Cafe at Emery Farm,,Holly Philbrick,holly@emeryfarm.com,603-742-8495,https://emeryfarm.com,https://www.facebook.com/EmeryFarmNH/,,,,,https://emeryfarm.com/our-blog,"147 Piscataqua Road, Durham, New Hampshire 03824",New Hampshire,Durham,147 Piscataqua Road,03824,-70.875933,43.132150,,
