Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 14th, 2022",onfarmmarket_701584_12529_20220414160257.png,701584,Wrong Direction Farm,"Wrong Direction Farm delivers Certified Organic, Pasture Raised Chicken and Turkey, along with our Grass Fed Beef from our family farm directly to customers throughout the Northeast.",Dave Perozzi,info@wrongdirectionfarm.com,5185882633,wrongdirectionfarm.com,,,,,,,"431 Seebers Lane, Canajoharie, New York 13317",New York,Canajoharie,431 Seebers Lane,13317,-74.611932,42.899915,,
on-farm market,"Apr 20th, 2015",default-onfarmmarket-4-3.jpg,700642,Abbott Farms,,Warren Abbott,apples@abbottfarms.com,315-638-7783,abbottfarms.com,abbottfarmsny,,,,,,"3275 Cold Springs Road, Baldwinsville, New York 13027",New York,Baldwinsville,3275 Cold Springs Road,13027,-76.281483,43.144523,,
on-farm market,"Apr 25th, 2018",default-onfarmmarket-4-3.jpg,701450,Loon Lake Organics,,Joshua Cartwright,jcartwright579@yahoo.com,5859918777,,Loon Lake Organics,,,,,,"10569 County Route 92, Wayland, New York 14572",New York,Wayland,10569 County Route 92,14572,-77.569955,42.513065,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700833,Dart's Tree Farm,,Kerry and Paula Dart,normdart@gmail.com,804-814-0017,,https://www.facebook.com/dartstreefarm,,,,,,"7745 Hill Road , Hubbardsville , New York 13355",New York,Hubbardsville,7745 Hill Road,13355,-75.483456,42.829149,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700321,Gillie Brook Farm,,Gillie Brook Farm,Info@GillieFarms.com,315-672-3706,www.gilliefarms.com,,,,,,,"6147 Gillie Brook Road, Memphis, New York 13112",New York,Memphis,6147 Gillie Brook Road,13112,-76.352603,43.073066,,
on-farm market,"Aug 14th, 2014",default-onfarmmarket-4-3.jpg,700740,Critz Farms,,Juanita Critz,info@critzfarms.com,315-662-3355,www.critzfarms.com,https://www.facebook.com/pages/Critz-Farms,https://www.twitter.com/critzfarms,,,,,"3232 Rippleton Road, Cazenovia, New York 13035",New York,Cazenovia,3232 Rippleton Road,13035,-75.871351,42.876558,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700878,Loiacono Farm,,Ron Loiacono,rcloia@yahoo.com,3158225864,,,,,,,,"573 Meeting House Road, West Winfield, New York 13491",New York,West Winfield,573 Meeting House Road,13491,-75.165333,42.914275,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700880,Lee Farms,,Lee Farms,LeeFarmsKent@cs.com,585 682-3036,,https://www.facebook.com/Lee.Farms.Organic.Beef?ref=hl,,,,,,"1417 Sawyer Rd, Kent, New York 14477",New York,Kent,1417 Sawyer Rd,14477,-78.157673,43.3466830,,
on-farm market,"Aug 23rd, 2014",default-onfarmmarket-4-3.jpg,700907,Catskill Cattle Co. - Catskill Fresh Farmstand,,Lonny Schaefer,lizz@catskillcattle.com,6074675762,http://www.catskillfresh.com,http://www.facebook.com/catskillcattle.com,,,,,,"96 Laurel Bank Ave, Deposit, New York 13754",New York,Deposit,96 Laurel Bank Ave,13754,-75.407016,42.066716,,
on-farm market,"Aug 23rd, 2017",default-onfarmmarket-4-3.jpg,701425,Happy Hooves Organic Farm,,Della Jastrzab,FarmSerf@yahoo.com,3154874336,http://betterbeef4u.com/,https://www.facebook.com/HappyHoovesOrganicFarm/,,,,,,"13054 Ira Station rd, Martville, New York 13111",New York,Martville,13054 Ira Station rd,13111,-76.611156,43.251306,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700108,Lowland Farm,,Jason Friedman,wbrown50@verizon.net,9175667106,www.lowlandfarm.com/,https://www.facebook.com/lowlandfarm,,,,,,"68 Prices Switch Road, Warwick, New York 10990",New York,Warwick,68 Prices Switch Road,10990,-74.460853,41.260494,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700223,Stonebeck Farm,,Melissa and Lance Sayward,stonebeckfarm@gmail.com,518-643-8530,http://stonebeckfarm.blogspot.com/,https://www.facebook.com/pages/Stonebeck-Farm/203077556515064,,,,,http://stonebeckfarm.blogspot.com/,"143 Strackville Road, Schuyler Falls, New York 12985",New York,Schuyler Falls,143 Strackville Road,12985,-73.688769,44.5976053,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700948,The Orchards Of Concklin,,Lauren Sharp,concklins@aol.com,845-354-0369,http://theorchardsofconcklin.com,https://www.facebook.com/pages/The-Orchards-of-Concklin/111163468897423,,,,,,"2 So. Mountain Rd , Pomona, New York 10970",New York,Pomona,2 So. Mountain Rd,10970,-74.032045,41.1786064,,
on-farm market,"Aug 28th, 2014",default-onfarmmarket-4-3.jpg,700971,Kingston YMCA Farm Project,,KayCee Wimbish,kaycee.wimbish@gmail.com,845.338.3810,kingstonymcafarmproject.org,https://www.facebook.com/KingstonYMCAFarmProject,,,,,,"507 Broadway, Kingston, New York 12401",New York,Kingston,507 Broadway,12401,-74.001235,41.9276140,,
on-farm market,"Aug 4th, 2014",default-onfarmmarket-4-3.jpg,700073,Scarecrow Farm,,Peter and Virginia Ambrose,info@scarecrowfarmny.com,518-821-2453,www.scarecrowfarmny.com,https://www.facebook.com/pages/Scarecrow-Farm,,,,,,"29 Old Barrington Road, Hollowville, New York 12530",New York,Hollowville,29 Old Barrington Road,12530,-73.660002,42.215512,,
on-farm market,"Aug 5th, 2020",default-onfarmmarket-4-3.jpg,701544,Brookby Farm,,Jaime Vincent,brookbyfarmstore@gmail.com,8458323859,https://www.brookbyfarm.com/,https://www.facebook.com/BrookbyFarm/,,,,,,"62 Dover Furnace Rd, Dover Plains, New York 12522",New York,Dover Plains,62 Dover Furnace Rd,12522,-73.579068,41.684239,,
on-farm market,"Dec 11th, 2019",default-onfarmmarket-4-3.jpg,701492,Brighton Honey,,Edward Graham,ward@brightonhoney.com,585-758-1060,https://www.brightonhoney.com/,https://www.facebook.com/brightonhoney,https://twitter.com/brightonhoney,,,,https://www.brightonhoney.com/blog/,"106 Norman Rd, Rochester, New York 14623",New York,Rochester,106 Norman Rd,14623,-77.639933,43.112030,,
on-farm market,"Dec 9th, 2015",default-onfarmmarket-4-3.jpg,701307,Hilltop Hanover Farm & Environmental Center,,Lucille Munz,Lucille@hilltophanoverfarm.org,9149622368,www.hilltophanoverfarm.org,https://www.facebook.com/hilltophanoverfarm/,https://twitter.com/friendsofhhfarm,,,,,"1271 Hanover Street, Yorktown Heights, New York 10598",New York,Yorktown Heights,1271 Hanover Street,10598,-73.774207,41.252254,,
on-farm market,"Feb 13th, 2016",default-onfarmmarket-4-3.jpg,701316,Creekside Market,,alan butzer,butzeralan@gmail.com,716-548-1863,http://www.creeksideproduce.com/,https://www.facebook.com/CreeksideMarketCollins/?ref=aymt_homepage_panel,,,,,,"13971 route 62, collins, New York 14034",New York,collins,13971 route 62,14034,-78.928479,42.4986310,,
on-farm market,"Feb 23rd, 2021",default-onfarmmarket-4-3.jpg,701588,Cedar Swamp Homestead,,Sheryl Davis,sheryldavis55@gmail.com,518-669-7015,cedarswamphomestead.com,www.facebook.com/cedarswamphomestead,,,,,,"3013 Hardscrabble Rd, Erieville, New York 13061",New York,Erieville,3013 Hardscrabble Rd,13061,-75.796473,42.882918,,
on-farm market,"Feb 3rd, 2015",default-onfarmmarket-4-3.jpg,701204,Steamy Farms,,Amy Farrand,SteamyFarms@yahoo.com,607-458-5505,,facebook.com/SteamyFarms,,,,,,"County Route 100, Woodhull, New York 14898",New York,Woodhull,County Route 100,14898,-77.408089,42.038941,,
