Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,,default-onfarmmarket-4-3.jpg,701968,Albuna Plant Farm,,,,,,,,,,,,"343 E County Rd 16, Tiffin, OH 44883, USA",Ohio,Tiffin,343 East County Road 16,44883,-83.164248,41.066714,,
on-farm market,"Apr 21st, 2016",default-onfarmmarket-4-3.jpg,701329,From The Water's Edge,,Carol Cunkle,cunkle.carol@gmail.com,330-670-0796,,,,,,,,"798 N. Medina Line Road, Granger Township, Ohio 44256",Ohio,Granger Township,798 N. Medina Line Road,44256,-81.713905,41.162239,,
on-farm market,"Apr 24th, 2019",default-onfarmmarket-4-3.jpg,701479,"R Farm of Northwest Ohio, LLC",,MELISSA RUPP,mrsmrupp@gmail.com,4195536366,www.rfarmnwo.com,facebook.com/rfarmnwo,,,,,,"5561 CR 1950, Stryker, Ohio 43557",Ohio,Stryker,5561 CR 1950,43557,-84.460299,41.493370,,
on-farm market,"Apr 2nd, 2018",default-onfarmmarket-4-3.jpg,701446,Schaefers Farm Market,,Elizabeth Schaefer,schaeferscsa@gmail.com,513-726-5307,www.schaefersfarmmarket.com,https://www.facebook.com/SchaefersCSA/,,,,,,"5024 Jacksonburg Road, Trenton, Ohio 45067",Ohio,Trenton,5024 Jacksonburg Road,45067,-84.501404,39.514640,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701808,Buckeye Valley Beef Co-Op,,,buckeyevalleybeefcooperative@gmail.com,937-403-4135,https://www.buckeyevalleybeef.com/,,,,,,,"690 E State St, Georgetown, OH 45121-9317, United States",Ohio,Georgetown,690 E State St,45121-9317,-83.89189,38.86261,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701809,Gary Keuffer,,Gary Keuffer,bnhr83@gmail.com,937-379-2048,,,,,,,,"3121 Bethel-New Hope Rd, Bethel, OH 45106-8602, United States",Ohio,Bethel,3121 Bethel-New Hope Rd,45106-8602,-83.94871,38.96138,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701810,McCafferty Farm,,Charles McCafferty,cmacmac11@aol.com,513-875-2292,,,,,,,,"2175 State Route 131, Fayetteville, OH 45118-9208, United States",Ohio,Fayetteville,2175 State Route 131,45118-9208,-83.98188,39.17156,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701811,White Ass Acres Organic Farm,,,,440-319-9329,,,,,,,,"1285 Swigart Rd, New Franklin, OH 44203-4733, United States",Ohio,New Franklin,1285 Swigart Rd,44203-4733,-81.56816,40.97531,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701812,Valley View Farm,,,kzimperman@gmail.com,440-645-0703,https://www.facebook.com/ValleyViewFarmOrwell/,,,,,,,"2396 US-322 W, Orwell, OH 44076-8332, United States",Ohio,Orwell,2396 US-322 W,44076-8332,-80.83539,41.53478,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701813,Bauman Orchards Farm Market,"Bauman Orchards, started in 1929, currently has a total of 260 acres with 70,000 apple trees and 12,000 peach trees. Now in our fourth generation, we also raise pears, plums, sweet corn, strawberries and blueberries. Our retail farm market in Rittman, Ohio is open year round. We offer seasonal fruit, homemade pies, cookies, and gift baskets. We have two other seasonal farm market locations: Scenic Ridge Fruit Farm in Jeromesville and our Corner Market, also in Rittman.",,,330-925-6861,https://baumanorchards.com/farm-market/,,,,,,,"161 Rittman Ave, Rittman, OH 44270-1253, United States",Ohio,Rittman,161 Rittman Ave,44270-1253,-81.79854,40.97139,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701814,Bauman Orchards Scenic Ridge Fruit Farm ,"Scenic Ridge Fruit Farm is an extension of Bauman Orchards, offering homegrown peaches July – September, and fresh pressed cider in September and October. Seasonally available products include apples, farm fresh eggs, apple butter, jams, nuts and candies, local honey, maple syrup, sweet corn, melons, tomatoes, green beans, plums, raspberries, pumpkins, squash, gourds.",,,419-368-3353,https://baumanorchards.com/scenic-ridge/,,,,,,,"2031 State Route 89, Jeromesville, OH 44840-9654, United States",Ohio,Jeromesville,2031 State Route 89,44840-9654,-82.18007,40.76692,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701815,Bauman Orchards Corner Market,"The Corner Market is a seasonal market through Bauman Orchards, located at the Corner of State Routes 585 and 57. The market is open mid-June through October. The market offers many seasonal fruits and vegetables.",,,330-855-1029,https://baumanorchards.com/corner-market/,,,,,,,"10370 Akron Rd, Rittman, OH 44270-9787, United States",Ohio,Rittman,10370 Akron Rd,44270-9787,-81.7639,40.92539,,
on-farm market,"Apr 4th, 2024",default-onfarmmarket-4-3.jpg,701816,Beckwith Orchards,"Family owned and operated orchard since 1878. Our season begins in late July with peaches, nectarines and corn. The selection changes with the seasons. Fall brings apples, pumpkins, gourds and cider. There is also an on-site gift shop and bakery. ",,,330-673-6433,http://www.beckwithorchards.com/,,,,,,,"1617 Lake Rockwell Rd, Kent, OH 44240-3019, United States",Ohio,Kent,1617 Lake Rockwell Rd,44240-3019,-81.3246,41.17105,,
