Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,,default-onfarmmarket-4-3.jpg,701968,Albuna Plant Farm,,,,,,,,,,,,"343 E County Rd 16, Tiffin, OH 44883, USA",Ohio,Tiffin,343 East County Road 16,44883,-83.164248,41.066714,,
on-farm market,"Apr 21st, 2016",default-onfarmmarket-4-3.jpg,701329,From The Water's Edge,,Carol Cunkle,cunkle.carol@gmail.com,330-670-0796,,,,,,,,"798 N. Medina Line Road, Granger Township, Ohio 44256",Ohio,Granger Township,798 N. Medina Line Road,44256,-81.713905,41.162239,,
on-farm market,"Apr 24th, 2019",default-onfarmmarket-4-3.jpg,701479,"R Farm of Northwest Ohio, LLC",,MELISSA RUPP,mrsmrupp@gmail.com,4195536366,www.rfarmnwo.com,facebook.com/rfarmnwo,,,,,,"5561 CR 1950, Stryker, Ohio 43557",Ohio,Stryker,5561 CR 1950,43557,-84.460299,41.493370,,
on-farm market,"Apr 2nd, 2018",default-onfarmmarket-4-3.jpg,701446,Schaefers Farm Market,,Elizabeth Schaefer,schaeferscsa@gmail.com,513-726-5307,www.schaefersfarmmarket.com,https://www.facebook.com/SchaefersCSA/,,,,,,"5024 Jacksonburg Road, Trenton, Ohio 45067",Ohio,Trenton,5024 Jacksonburg Road,45067,-84.501404,39.514640,,
on-farm market,"Aug 10th, 2014",default-onfarmmarket-4-3.jpg,700826,Thurmans' Farm Market,,Randy Thurman,Randy.thurman7@gmail.com,4192602744,Thurmansfarmmarket.com,https://www.facebook.com/pages/Thurmans-Farm-Market/133871850093087,,,,,,"22867 Kellogg Road, Grand Rapids, Ohio 43522",Ohio,Grand Rapids,22867 Kellogg Road,43522,-83.842096,41.415294,,
on-farm market,"Aug 12th, 2014",default-onfarmmarket-4-3.jpg,700184,Amalfi Gardens LLC,,Alex Restaino,amalfigardens@gmail.com,330-554-8858,,https://www.facebook.com/AmalfiGardens,,,,,,"82nd & Kinsman rd., Cleveland, Ohio 44104",Ohio,Cleveland,82nd & Kinsman rd.,44104,-81.630177,41.475637,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700141,Folsom & Pine Farm,,Lori Fry,hello@folsomandpine.com,614-385-4080,www.folsomandpine.com,https://www.facebook.com/folsomandpine,https://www.twitter.com/FolsomPineFarm,,,,,"5959 Lambert Road, Orient, Ohio 43146",Ohio,Orient,5959 Lambert Road,43146,-83.162686,39.844156,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700208,Tim's Turkey's/Stein Farm LLC.,,Timothy Stein,timstein1@outlook.com,330-606-3799,www.timsturkeys.com,,,,,,,"3600 Allard rd., Medina, Ohio 44256",Ohio,Medina,3600 Allard rd.,44256,-81.695708,41.1779940,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700486,Zim's Raspberry Patch,,Susan Zimmerman,dtzimm@frontier.com,740-544-6012,,Susan Gates Zimmerman,,,,,,"17125 State Route 152, Toronto, Ohio 43964",Ohio,Toronto,17125 State Route 152,43964,-80.657942,40.504650,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700743,Carlton Farm Produce,,Phil Carlton,info@carltonfarmproduce.com,330-274-2387,www.carltonfarmproduce.com,https://www.facebook.com/CarltonFarmProduce,https://www.twitter.com/carltonfarmprod,,,,,"3486 Pioneer Tr., Mantua, Ohio 44255",Ohio,Mantua,3486 Pioneer Tr.,44255,-81.267049,41.292584,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700777,The Gold Family Farm,,Julie Garner,goldfarm1937@gmail.com,740-517-5012,,https://www.facebook.com/pages/The-Gold-Family-Farm/210127155664647,,,,,,"4799 Fisher Road, Athens, Ohio 45701",Ohio,Athens,4799 Fisher Road,45701,-82.143053,39.268587,,
on-farm market,"Aug 16th, 2017",default-onfarmmarket-4-3.jpg,701424,"Weymouth Farms & Orchard, Winery",,Paul O\'Neill,paulxoneill@gmail.com,2165349600,www.weymouthfarms.com,https://www.facebook.com/weymouthfarms/,,,,,,"2398 Weymouth Road, Hinckley, Ohio 44233",Ohio,Hinckley,2398 Weymouth Road,44233,-81.759425,41.211152,,
on-farm market,"Aug 19th, 2014",default-onfarmmarket-4-3.jpg,700848,White House Fruit  Farm,,White House Fruit Farm,whitehousefruitfarm@gmail.com,330-533-4161,www.whitehousefruitfarm.com,https://www.facebook.com/whitehousefruitfarm,,,,,,"9249 Youngstown Salem Rd, Canfield, Ohio 44406",Ohio,Canfield,9249 Youngstown Salem Rd,44406,-80.806746,40.9841580,,
on-farm market,"Aug 20th, 2014",default-onfarmmarket-4-3.jpg,700850,Lawrence Orchards,,Lawrence Orchards,george@lawrenceorchards.com,740-389-3019,www.lawrenceorchards.com,https://www.facebook.com/LawrenceOrchards?ref=hl,,,,,,"2634 Smeltzer Rd, Marion, Ohio 43302",Ohio,Marion,2634 Smeltzer Rd,43302,-83.136091,40.537152,,
