Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 25th, 2014",default-onfarmmarket-4-3.jpg,700925,Real-Ranch LLC,,Shari Morrison,paulshari@real-ranch.com,580-777-4799,real-ranch.com,https://www.facebook.com/realranch,,,,,,"11714 CR 1690, Roff, Oklahoma 74865",Oklahoma,Roff,11714 CR 1690,74865,-96.745575,34.564565,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700950,ZaKK Farms; Home of OKBelties,,Jason & Linda Fly,okbelties@gmail.com,(405)-432-8758,okbelties.weebly.com,,,,,,,"32757 Hwy 9, Pink , Oklahoma 74873",Oklahoma,Pink,32757 Hwy 9,74873,-97.074740,35.257996,,
on-farm market,"Aug 28th, 2014",default-onfarmmarket-4-3.jpg,700976,Inslee Fish Farm,,Donald Inslee,bassholeofoklahoma@hotmail.com,580-836-7150,,https://www.facebook.com/pages/Inslee-Fish-Farm/123937417683643,,,,,,"1400 Seeley Chapel Rd, Connerville, Oklahoma 74836",Oklahoma,Connerville,1400 Seeley Chapel Rd,74836,-96.628693,34.460187,,
on-farm market,"Aug 2nd, 2014",default-onfarmmarket-4-3.jpg,700797,Endicott Farms LLC,,Betsy Endicott,endicottfarms@yahoo.com,918-344-4582,www.endicottfarms.com,,,,,,,"211th Between Harvard & Lewis, Liberty-Mounds, Oklahoma 74047",Oklahoma,Liberty-Mounds,211th Between Harvard & Lewis,74047,-95.961522,35.856606,,
on-farm market,"Jul 21st, 2016",default-onfarmmarket-4-3.jpg,701364,Red Truck Farm,,Susan Howell,redtruckfarm@hotmail.com,580-919-0967,,https://www.facebook.com/Red-Truck-Farm-1441855589413794/?ref=bookmarks,,,,,,"16963 CR NS 227, Manitou, Oklahoma 73555",Oklahoma,Manitou,16963 CR NS 227,73555,-98.933473,34.557891,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700559,Peach Crest Farm,,,sbergen1@cox.net,405-650-0804,,,,,,,,"10219 us hwy 177, Stratford, Oklahoma 74872",Oklahoma,Stratford,10219 us hwy 177,74872,-96.966834,34.860704,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700793,Wild Things Farm,,Catherine Greene,farmer@wildthingsfarm.com,918-626-4053,www.wildthingsfarm.com,www.facebook.com/pages/Wild-Things-Farm/309163820790,,,,,,"700 Beaty Avenue, Pocola, Oklahoma 74902",Oklahoma,Pocola,700 Beaty Avenue,74902,-94.446848,35.303899,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700649,Forbidden Fruits Farm,,Alexis Kaiser,alexis.kaiser@gmail.com,4057577670,www.forbiddenfruitsfarm.com,www.facebook.com/forbiddenfruitsfarm,,,,,forbiddenfruitsfarm.blogspot.com,"23200 CR 1480, Cyril, Oklahoma 73029",Oklahoma,Cyril,23200 CR 1480,73029,-98.215386,34.869930,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700460,Chisholm Trail Farm LLC,,Tim Boehrer,tim@chisholmtrailfarm.com,405-850-2207,www.chisholmtrailfarm.com,,,,,,,"1010 CS 2930, Tuttle, Oklahoma 73089",Oklahoma,Tuttle,1010 CS 2930,73089,-97.777551,35.245987,,
on-farm market,"Jul 29th, 2014",default-onfarmmarket-4-3.jpg,700544,Buffalo Creek Berry Farm,,Bobby Sloan Jr.,bobby.sloan@yahoo.com,405-412-4515,,,,,,,,"9211 Sloan Rd, Mustang, Oklahoma 73064",Oklahoma,Mustang,9211 Sloan Rd,73064,-97.681934,35.373981,,
