Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 17th, 2015",default-onfarmmarket-4-3.jpg,701245,Old McCaskill's Farm,,Kathy McCaskill,oldmccaskillsfarm@gmail.com,803-432-9537,oldmccaskillsfarm@gmail.com,Old McCaskill\'s Farm,,,,,,"377 Cantey Lane, Rembert, South Carolina 29128",South Carolina,Rembert,377 Cantey Lane,29128,-80.578306,34.209886,,
on-farm market,"Apr 21st, 2016",default-onfarmmarket-4-3.jpg,701330,Roberts Family Farm,,Amanda Roberts,amandaroberts004@gmail.com,8033200436,http://amandaroberts004.wix.com/robertsfamilyfarm,https://www.facebook.com/RobertsFamilyFarmKershaw/,,,,,,", Kershaw , South Carolina 29067",South Carolina,Kershaw,,29067,-80.583683,34.5518201,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700595,McLeod Farms Market,,Lynn Dixon,market@macspride.com,843-335-8611,www.macspride.com,www.facebook.com/mcleodfarms,,,,,www.youtube.com/user/mcleodfarm,"29247 Hwy 151 South, McBee, South Carolina 29101",South Carolina,McBee,29247 Hwy 151 South,29101,-80.192793,34.436374,,
on-farm market,"Aug 19th, 2014",default-onfarmmarket-4-3.jpg,700526,Springs Farm,,Jene Goddard,springsfarmmkt@comporium.net,803-548-3939,www.springsfarm.com,www.facebook.com/springsfarm,,,,,,"1010 Springfield Parkway, Fort Mill, South Carolina 29716",South Carolina,Fort Mill,1010 Springfield Parkway,29716,-80.914580,35.0404714,,
on-farm market,"Aug 19th, 2014",default-onfarmmarket-4-3.jpg,700849,The Peach Stand,,Sherri McMurray,smpeachstand@comporium.net,(803) 547-7563,www.peachstand.com,www.facebook.com/peachstand,,,,,,"1325 Hwy 160 West, Fort Mill, South Carolina 29715",South Carolina,Fort Mill,1325 Hwy 160 West,29715,-80.957669,35.0193339,,
on-farm market,"Aug 22nd, 2014",default-onfarmmarket-4-3.jpg,700885,Cook's Farm,,Larry C. Cook,pam@cooksfarm.com,803-275-2970,http://www.cooksfarm.com,https://www.facebook.com/pages/Cooks-Roadside-Market/210756652278667,,,,,,"1236 Augusta Road, Trenton, South Carolina 29847",South Carolina,Trenton,1236 Augusta Road,29847,-81.872007,33.7458417,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700079,Chattooga Belle Farm,,Ed and Kitty Land,info@chattoogabellefarm.com,864-647-9768,www.ChattoogaBelleFarm.com,https://www.facebook.com/pages/Chattooga-Belle-Farm/320833894116?ref=hl,,,,,,"454 Damascus Church Road, Long Creek, South Carolina 29658",South Carolina,Long Creek,454 Damascus Church Road,29658,-83.267578,34.7667603,,
on-farm market,"Aug 27th, 2014",default-onfarmmarket-4-3.jpg,700954,Whites Jersey Dairy,,Wilbur R. White,WhitesJerseyDairy@yahoo.com,864-373-5914,,,,,,,,", Taylors, South Carolina 29687",South Carolina,Taylors,,29687,-82.348271,34.999269,,
on-farm market,"Aug 27th, 2014",default-onfarmmarket-4-3.jpg,700965,RAZE Organic Grown Products,,Ray Kenner,david.gurr@yahoo.com,(803) 341-5864,,,,,,,,"135 Mustang Dr, Graniteville, South Carolina 29829",South Carolina,Graniteville,135 Mustang Dr,29829,-81.862388,33.5306160,,
on-farm market,"Aug 30th, 2014",default-onfarmmarket-4-3.jpg,700995,Hurricane Creek Farms,,Jesse Adkins,hurricanecreekfarms@gmail.com,864-933-1343,www.hurricanecreekfarms.com,https://www.facebook.com/HurricaneCreekFarms,,,,,,"220 Moores Mill Rd., Pelzer, South Carolina 29669",South Carolina,Pelzer,220 Moores Mill Rd.,29669,-82.496322,34.6826653,,
on-farm market,"Aug 7th, 2014",default-onfarmmarket-4-3.jpg,700717,The Ivy Place LLC,,,ivyplaceevents@gmail.com,704-651-3700,www.ivyplaceevents.com,www.facebook.com/theivyplace,www.twitter.com/theivyplace,,,,,"8603 Van Wyck Road, Lancaster, South Carolina 29720",South Carolina,Lancaster,8603 Van Wyck Road,29720,-80.860885,34.8909080,,
on-farm market,"Dec 14th, 2016",default-onfarmmarket-4-3.jpg,701378,Lil Johnson Rayanch,,Lorrie Johnson,LilRayanch@gmail.com,843-599-7350,,,,,,,,"213 Clatty Farm Rd., Ruffin, South Carolina 29475",South Carolina,Ruffin,213 Clatty Farm Rd.,29475,-80.784118,33.0465746,,
on-farm market,"Feb 7th, 2020",default-onfarmmarket-4-3.jpg,701501,Bohica Pepper Hut,,Jason Tate,jason@bohicapepperhut.com,8643868396,www.bohicapepperhut.com,https://business.facebook.com/BohicaPepperHut,https://twitter.com/BohicaPepperHut,,,,,"100 LYLE ST, MAULDIN, South Carolina 29662",South Carolina,MAULDIN,100 LYLE ST,29662,-82.299578,34.785966,,
on-farm market,"Jan 8th, 2015",default-onfarmmarket-4-3.jpg,701193,Watson Farms Pastured Meats,,Kelly Watson,kelly@watsonfarmsbeef.com,8035818926,http://www.watsonfarmsbeef.com/,http://www.facebook.com/watsonfarms,http://twitter.com/watsonfarmsbeef,,,,http://www.watsonfarmsbeef.com/?feed=rss2,"713 Colony Road, Chester, South Carolina 29706",South Carolina,Chester,713 Colony Road,29706,-81.213222,34.811077,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700497,Dempsey Farms UPick,,Davis W Dempsey,ddem@hargray.com,843-838-3656,dempseyfarmsupick.com,,,,,,,"1576 Sea Island Parkway , Saint Helena Island, South Carolina 29920",South Carolina,Saint Helena Island,1576 Sea Island Parkway,29920,-80.509848,32.412935,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700754,Hickory Bluff Berry Farm,,,hickorybluff@gmail.com,843-743-8244,,,,,,,,"245 Hickory Bluff Lane, Holly Hill, South Carolina 29059",South Carolina,Holly Hill,245 Hickory Bluff Lane,29059,-80.342703,33.257054,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700768,Anderson Vineyards,,,gvinesc@gmail.com,864-576-1830,,,,,,,,"1221 Riddle Rd, Pauline, South Carolina 29374",South Carolina,Pauline,1221 Riddle Rd,29374,-81.885337,34.7909070,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700027,Sunny Cedars Farm,,Russell Singleton,russell@sunnycedars.com,803-934-6072,www.sunnycedars.com,https://www.facebook.com/sunnycedars,,,,,,"701 Singleton Lane, Sumter, South Carolina 29154",South Carolina,Sumter,701 Singleton Lane,29154,-80.361804,33.8962570,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700191,The Carolina Honey Bee Company - Carolina Bee Supply LLC,,,sales@carolinahoneybeecompany.com,864-610-2337,https://www.carolinahoneybeecompany.com,https://www.facebook.com/CarolinaHoneyBeeCompany,https://twitter.com/CarolinaBeeCo,,,,,"10 South Main Street, Travelers Rest, South Carolina 29690",South Carolina,Travelers Rest,10 South Main Street,29690,-82.443133,34.967438,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700227,Southern Oaks Jersey Farm & Creamery,,Dana Wiley,southernoaksjerseys@wctel.net,864-391-1898,,,,,,,,"1458 Hwy. 20, Abbeville, South Carolina 29620",South Carolina,Abbeville,1458 Hwy. 20,29620,-82.377913,34.179935,,
on-farm market,"Mar 17th, 2021",default-onfarmmarket-4-3.jpg,701592,Ambert Farm,,Michael Carden,admin@ambertfarm.com,8035208815,https://www.ambertfarm.com,https://www.facebook.com/AmbertFarm,https://twitter.com/AmbertFarm,,,,https://www.ambertfarm.com/blog,"2885 Steeplechase Dr., Dalzell, South Carolina 29040",South Carolina,Dalzell,2885 Steeplechase Dr.,29040,-80.431956,34.02079,,
on-farm market,"Oct 13th, 2014",default-onfarmmarket-4-3.jpg,700381,The Happy Berry,,Walker Miller and Family,contactus@thehappyberry.com,864-350 9345,www.thehappyberry.com,,,,,,,"510 Gap Hill Rd. - No Mail Receptacle, Six Mile, South Carolina 29682",South Carolina,Six Mile,510 Gap Hill Rd. - No Mail Receptacle,29682,-82.869578,34.839952,,
on-farm market,"Oct 15th, 2014",default-onfarmmarket-4-3.jpg,701136,Blythewood Beef,,Patrick Tyndall,blythewoodbeef@gmail.com,803-465-1981,www.blythewoodbeef.com,facebook.com/blythewoodbeef,,,,,,"2331 Muller Road, Blythewood, South Carolina 29016",South Carolina,Blythewood,2331 Muller Road,29016,-81.063775,34.2182530,,
on-farm market,"Oct 15th, 2014",default-onfarmmarket-4-3.jpg,701137,Satterfield Farms,,Tommy Satterfield,t.satt@charter.net,(864) 444-1991,http://www.facebook.com/satterfieldgrassfedbeef,,,,,,,"140 Edith Drive, Taylors, South Carolina 29687",South Carolina,Taylors,140 Edith Drive,29687,-82.316623,34.972519,,
on-farm market,"Oct 3rd, 2014",default-onfarmmarket-4-3.jpg,701122,Roger Ridge Ranch,,Lynn Galvez,rogerridgeranch@gmail.com,803-610-3102,www.rogerridgeranch.com,www.facebook.com/rogerridgeranch,,,,,,"4700 Canaan Church Road, Smyrna, South Carolina 29743",South Carolina,Smyrna,4700 Canaan Church Road,29743,-81.412930,35.0464950,,
on-farm market,"Oct 6th, 2014",default-onfarmmarket-4-3.jpg,700658,Brigger Hill Farm,,Ernie Drawdy,missymckoy@bellsouth.net,843-259-8825,,,,,,,,"1884 Bugby Plantation Road, Wadmalaw Island, South Carolina 29487",South Carolina,Wadmalaw Island,1884 Bugby Plantation Road,29487,-80.090394,32.7059843,,
on-farm market,"Sep 17th, 2014",default-onfarmmarket-4-3.jpg,700485,Bruces Blueberries,,,dwnsbruc@aol.com,843 814-2431,,,,,,,,"141 Rainbow Road, Conway, South Carolina 29526",South Carolina,Conway,141 Rainbow Road,29526,-78.948363,33.889692,,
on-farm market,"Sep 18th, 2014",default-onfarmmarket-4-3.jpg,700772,Geechie Boy Market Mill,,greg johnsman,gregjohnsman@yahoo.com,843 2095220,geechieboymill.com,geechie boy mill,https://www.twitter.com/geechie boy mill,,,,,"2995 highway 174, Edisto Island, South Carolina 29438",South Carolina,Edisto Island,2995 highway 174,29438,-80.347605,32.5974480,,
on-farm market,"Sep 23rd, 2014",default-onfarmmarket-4-3.jpg,701026,Natural Grown Meats,,Jeff R. Harrelson,NaturalGrownMeats@gmail.com,843.222.7850,NaturalGrownMeats.com,Natural Grown Meats Owners Jeff & Tara Harrelson,,,,,,"413 29th Avenue North, North Myrtle Beach, South Carolina",South Carolina,North Myrtle Beach,413 29th Avenue North,,-78.639880,33.8328660,,
on-farm market,"Sep 2nd, 2014",default-onfarmmarket-4-3.jpg,700329,Blue Pearl Farms,,Blue Pearl Farms,info@bluepearlfarms.com,843-887-3554,bluepearlfarms.com,https://www.facebook.com/bluepearlfarmspage,,,,,,"9760 Randall Rd, McClellanville, South Carolina 29458",South Carolina,McClellanville,9760 Randall Rd,29458,-79.501693,33.0961315,,
on-farm market,"Sep 30th, 2014",default-onfarmmarket-4-3.jpg,701110,Millgrove Farms Town Market,,Carol Williams,millgrovefarms@gmail.com,8435465075,http://www.millgrovefarms.com/,https://www.facebook.com/pages/Millgrove-Farms/153647867865?ref=hl,https://twitter.com/MillgroveFarms,,,,,"1711 North Fraser Street, Georgetown, South Carolina 29440",South Carolina,Georgetown,1711 North Fraser Street,29440,-79.289779,33.3987310,,
