Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700337,Hickory Bluff Alpaca Farms,,Ruth Fuqua,hickorybluffalpacas@comcast.net,615-444-4765,www.hickorybluffalpacas@comcast.net,https://www.facebook.com/pages/Hickory-Bluff-Alpaca-Store/113452238708465,,,,,,"7236 Lebanon Road, Mount Juliet, Tennessee 37122",Tennessee,Mount Juliet,7236 Lebanon Road,37122,-86.445603,36.2262720,,
on-farm market,"Aug 23rd, 2014",default-onfarmmarket-4-3.jpg,700893,Country Meadows Farm,,Warren Tamargo,cmfarms1950@comcast.net,423-829-5694,,,,,,,,"111 county road 663, Athens, Tennessee 37303",Tennessee,Athens,111 county road 663,37303,-84.578432,35.408838,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700949,Crum Farms Market,,Manford Crum,toni@crumfarms.com,731-336-6995,www.crumfarms.com,,,,,,,"7865 Jones Bend Rd, Cottage Grove , Tennessee 38224",Tennessee,Cottage Grove,7865 Jones Bend Rd,38224,-88.450047,36.3407380,,
on-farm market,"Aug 28th, 2014",default-onfarmmarket-4-3.jpg,700453,Trace View Farm,,Bernie Ellis,tracevu@gmail.com,931/682-2864,,,,,,,,"5985 Fly Hollow Road, Santa Fe, Tennessee 38482",Tennessee,Santa Fe,5985 Fly Hollow Road,38482,-87.180602,35.813344,,
on-farm market,"Aug 29th, 2014",default-onfarmmarket-4-3.jpg,700987,Folsom Farms,,Teresa Folsom,930folsomfarms@gmail.com,615-408-2018,folsomfarms.com,,,,,,,"930 County Line Road, Alexandria, Tennessee 37012",Tennessee,Alexandria,930 County Line Road,37012,-86.066179,36.0742679,,
on-farm market,"Aug 7th, 2014",default-onfarmmarket-4-3.jpg,700436,Apples and More Baker Mountain Farm,,Baker Mountain Farm,Wendy@BakerMountainFarm.com,(931)316-9072,www.BakerMountainFarm.com,www.facebook.com/BakerMountainFarm,,,,,,"351 Pioneer Lane, Spencer, Tennessee 38585",Tennessee,Spencer,351 Pioneer Lane,38585,-85.508244,35.6268090,,
on-farm market,"Aug 8th, 2014",default-onfarmmarket-4-3.jpg,700438,Sunbright Farm,,,wandagoo@hotmail.com,6155128581,,,,,,,,"4575 Goodman Rd, Adams, Tennessee 37010",Tennessee,Adams,4575 Goodman Rd,37010,-87.090102,36.5341940,,
on-farm market,"Aug 9th, 2020",default-onfarmmarket-4-3.jpg,701549,Lick Skillet Farm,,shannon miller,shannon@lickskillet.farm,8654755025,https://lickskillet.farm/,https://www.facebook.com/lickskilletfarmtn/?view_public_for=606733313099150,,,,,https://lickskillet.farm/blog,"800 Lick Skillet Lane, new market, Tennessee 37820",Tennessee,new market,800 Lick Skillet Lane,37820,-83.594876,36.096586,,
on-farm market,"Aug 9th, 2021",default-onfarmmarket-4-3.jpg,701607,Newcomb Family Farm,,Shelly Newcomb,Newcombfamilyfarm@gmail.com,9317979161,,https://m.facebook.com/108685953854665/,,,,,,"2842 Nashville Hwy1, Lewisburg, Tennessee 37091",Tennessee,Lewisburg,2842 Nashville Hwy1,37091,-86.711984,35.512638,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700229,Honeys Blueberry Farm,,Terry Skeen,ske3077@att.net,865-717-9596,,,,,,,,"4333 Kingston Hwy, Loudon, Tennessee 37774",Tennessee,Loudon,4333 Kingston Hwy,37774,-84.381906,35.838957,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700288,Scott Apiaries,,John Scott,john.scott@scottapiaries.com,,,,,,,,,"3318 Beech Bluff Rd, Jackson, Tennessee 38301",Tennessee,Jackson,3318 Beech Bluff Rd,38301,-88.704793,35.612607,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700558,Schrock Honeyacres,,Fred Schrock,schrockf@gmail.com,931 445-3294,,,,,,,,"154 Schrock Lane, Monterey, Tennessee 38574",Tennessee,Monterey,154 Schrock Lane,38574,-85.130135,36.200363,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700212,The Orchard,,Don Henry,theorchard13@yahoo.com,615-654-9227,the0rchard13@yahoo.com,none,,,,,none,"6900 Blackberry Lane, Cross Plains, Tennessee 37049",Tennessee,Cross Plains,6900 Blackberry Lane,37049,-86.750552,36.5423980,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700380,Cook's Ranch Beef,,Thomas Cook,cook1231@bellsouth.net,931-358-9358,http://www.cooksranchbeef.com/,,,,,,,"3509 Shady Grove Rd., Clarksville, Tennessee 37043",Tennessee,Clarksville,3509 Shady Grove Rd.,37043,-87.200488,36.476291,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700715,J&J Century Farm,,Beverly Wall,jandjcenturyfarm@yahoo.com,931-249-8295,jandjcenturyfarm.com,https://www.facebook.com/pages/JJ-Century-Farm/119301329270,,,,,,"1219 Saint Michael Rd, Southside, Tennessee 37171",Tennessee,Southside,1219 Saint Michael Rd,37171,-87.320000,36.317353,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700744,Brewers Mushrooms,,Tammy Brewer,info@brewersmushrooms.com,423-441-2533,www.brewersmushrooms.com,https://www.facebook.com/brewersmushrooms,,,,,,"850 Hide A Way Road, Dandridge, Tennessee 37725",Tennessee,Dandridge,850 Hide A Way Road,37725,-83.538797,35.999641,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700532,Hidden Springs Orchard,,Brinna Sallee,bsblueberries@gmail.com,931-529-1166,http://www.hiddenspringsorchard.com/Hidden_Springs_Orchard/Home.html,,,,,,,"2204 Spring Creek Road, Cookeville, Tennessee 38501",Tennessee,Cookeville,2204 Spring Creek Road,38501,-85.511189,36.321966,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700691,Larry Thompson Farm,,Larry Thompson,Larrythompsonfarm@gmail.com,423-753-4429,,,,,,,,"236 Charlie Carsom Road, Jonesborough, Tennessee 37659",Tennessee,Jonesborough,236 Charlie Carsom Road,37659,-82.506812,36.188927,,
on-farm market,"Jul 29th, 2014",default-onfarmmarket-4-3.jpg,700632,Bee Sweet Berry Farm,,Ron & Judi Grennier,beesweetberryfarm@yahoo.com,615-423-4240,www.beesweetberryfarm.com,https://www.facebook.com/beesweetberryfarm,,,,,,"1442 Globe Road, Lewisburg, Tennessee 37091",Tennessee,Lewisburg,1442 Globe Road,37091,-86.871369,35.4242822,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700366,Blueberries on the Buffalo Farm,,Dan and Debbie Eiser,eiser@msn.com,931-964-4578,http://www.localharvest.org/blueberries-on-the-buffalo-farm-M11313,,,,,,,"78 Cemetery Road, Lawrenceburg, Tennessee 38464",Tennessee,Lawrenceburg,78 Cemetery Road,38464,-87.401452,35.4021592,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700516,Country Lane Farm,,Jim Holbert,cjholbertfarm@gmail.com,865-804-2503,,,,,,,,"351 Kearney Road, New Market, Tennessee 37820",Tennessee,New Market,351 Kearney Road,37820,-83.535384,36.067779,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700762,Rosemark Vinyards,,russell hatley,hatleyrussell@gmail.com,901  829-3258,,,,,,,,"8605 Kerrville-Rosemark, Millington, Tennessee 38053",Tennessee,Millington,8605 Kerrville-Rosemark,38053,-89.775799,35.3622159,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700142,Farmer Brown's Hydroponics,,JB Brown,jborab@blomand.net,931-607-3446,www.mcminnville.locallygrown.net,https://www.facebook.com/FarmerBrowns,,,,,,"678 Arch Cope Road, Morrison, Tennessee 37357",Tennessee,Morrison,678 Arch Cope Road,37357,-85.856623,35.642861,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700631,Bell Point Farms,,Shawn Hensley,bellpointfarms@gmail.com,931-653-4227,http://bellpointfarms.weebly.com,https://www.facebook.com/pages/Bell-Point-Farms/430747496942129,,,,,,"5374 Granville Highway, Granville, Tennessee 38564",Tennessee,Granville,5374 Granville Highway,38564,-85.756980,36.275492,,
on-farm market,"Mar 24th, 2015",default-onfarmmarket-4-3.jpg,700464,Thedfords Blueberry Patch,,Brenda Thedford,thedfordw5764@att.net,423-365-5764,www.facebook.com/pages/Thedfords-Blueberries/215898395115204,,,,,,,"100 John Deere Dr., Spring City, Tennessee 37381",Tennessee,Spring City,100 John Deere Dr.,37381,-84.865813,35.665743,,
on-farm market,"Mar 26th, 2015",default-onfarmmarket-4-3.jpg,700385,Clover Creek Farm,,Chris Wilson,clovercreekhairsheep@gmail.com,423-753-2223,clovercreekhairsheep.com,,,,,,,"529 Harmony Road, Jonesborough, Tennessee 37659",Tennessee,Jonesborough,529 Harmony Road,37659,-82.569877,36.3583110,,
on-farm market,"Mar 2nd, 2022",default-onfarmmarket-4-3.jpg,701640,Newcomb Family Farm,,Shelly Newcomb,Newcombfamilyfarm@gmail.com,9317979161,,,,,,,,"2842 Nashville Hwy, Lewisburg, Tennessee 37091",Tennessee,Lewisburg,2842 Nashville Hwy,37091,-86.714830,35.512247,,
on-farm market,"May 14th, 2015",default-onfarmmarket-4-3.jpg,701255,Herron Family Pastures,,Kinzi Herron,Info@herronfamilypastures.com,714-390-5704,http://herronfamilypastures.com,,Twitter.com/herronpastures,,,,,"1810 Farmington Drive, Franklin, Tennessee 37069",Tennessee,Franklin,1810 Farmington Drive,37069,-86.875964,35.9842070,,
on-farm market,"May 14th, 2015",default-onfarmmarket-4-3.jpg,701257,Local Living Farm,,Ed Harrison,eharrison@smartergardens.com,6152606621,www.locallivingfarm.com,facebook.com/locallivingfarm,@LocalLivingFarm,,,,www.locallivingfarm/blog/,"5318 Hickory Hollow Parkway, Antioch, Tennessee 37013",Tennessee,Antioch,5318 Hickory Hollow Parkway,37013,-86.653208,36.046995,,
