Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700033,StandingStone Farm/Flatland Alpacas,,LoriA,info@standingstonefainters.com,860-376-4658,https://www.standingstonefarm.com,https://www.facebook.com/StandingStoneFainters,,,,,,"285 Sam Chikan Rd, Griswold, Connecticut 06351",Connecticut,Griswold,285 Sam Chikan Rd,06351,-71.941041,41.5576601,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700790,Old Fitch Farm Vineyard,,Warren strong,fitchclaremont@yahoo.com,860 8890260,Http://fitchclaremonthouse.com,,,,,,,"83 Fitchville Road, Bozrah, Connecticut 06334",Connecticut,Bozrah,83 Fitchville Road,06334,-72.138952,41.563339,,
on-farm market,"Aug 15th, 2014",default-onfarmmarket-4-3.jpg,700598,Pell Farm,,Tracy,Pellfarms@gmail.com,860-763-1643,www.pell-farms.com,https://www.facebook.com/pages/Pell-Farm/1448216858744306,https://twitter.com/PellFarm,,,,,"96 Kibbe Grove Road, Somers , Connecticut 06071",Connecticut,Somers,96 Kibbe Grove Road,06071,-72.459035,42.0281882,,
on-farm market,"Aug 1st, 2014",default-onfarmmarket-4-3.jpg,700721,"Walnut Ledge Farm, LLC",,Joanna Kamis,info@walnutledgefarm.com,860-633-2286,www.walnutledgefarm.com,https://www.facebook.com/pages/Walnut-Ledge-Farm/421246841298079,,,,,,"360 Matson Hill Road, South Glastonbury, Connecticut 06073",Connecticut,South Glastonbury,360 Matson Hill Road,06073,-72.583278,41.6535280,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700332,Averill Farm,,Susan Averill,info@averillfarm.com,860-868-2777,Www.averillfarm.com,https://www.facebook.com/pages/Averill-Farm/159088404122324?ref=ts,,,,,N/a,"250 Calhoun St, Washington Depot, Connecticut 6794",Connecticut,Washington Depot,250 Calhoun St,6794,-73.342029,41.664274,,
on-farm market,"Aug 4th, 2014",default-onfarmmarket-4-3.jpg,700719,Buell's Orchard,,Patty Sandness,information@buellsorchard.com,(860) 974-1150,www.buellsorchard.com,www.facebook.com/pages/Buells-Orchard/132499357322,https://twitter.com/BuellsOrchard,,,,,"108 Crystal Pond Road, Eastford, Connecticut 06242",Connecticut,Eastford,108 Crystal Pond Road,06242,-72.104312,41.917985,,
on-farm market,"Dec 4th, 2014",default-onfarmmarket-4-3.jpg,701178,Pakulis Farm LLC,,Sandra F Brodeur,sandy.brodeur@gmail.com,860-450-6744,,https://www.facebook.com/pakulis.farm,,,,,,"63 Creamery Brook Road, Brooklyn, Connecticut 06234",Connecticut,Brooklyn,63 Creamery Brook Road,06234,-71.934901,41.772394,,
on-farm market,"Jan 5th, 2015",default-onfarmmarket-4-3.jpg,701187,Blue Hills Orchard,,Eric Henry,eric@bluehillsorchard.com,2032693189,bluehillsorchard.com,Blue Hills Orchard,,,,,,"141Blue Hills Rd., Wallingford, Connecticut 06492",Connecticut,Wallingford,141Blue Hills Rd.,06492,-72.866826,41.4486597,,
on-farm market,"Jul 20th, 2016",default-onfarmmarket-4-3.jpg,701362,White Stone Acres,,Gina White,whitestoneacres@hotmail.com,8607104616,www.whitestoneacres.com,www.facebook.com/whitestoneacres,,,,,,"113 South Rd, Winchester Center, Connecticut 06098",Connecticut,Winchester Center,113 South Rd,06098,-73.131064,41.896949,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700253,Sepe Farm LLC,,Peter Sepe,pasepe@juno.com,203-270-9507,www.sepefarm.com,https://www.facebook.com/SepeFarm,,,,,,"83 Toddy Hill Road, Sandy Hook, Connecticut 06482",Connecticut,Sandy Hook,83 Toddy Hill Road,06482,-73.258523,41.391519,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700475,Starberry Farm,,Bob and Sally Futh,Starberry@snet.net,(860) 868-2863  Fax:,,,,,,,,"47 & 81 Kielwasser Road, Washington Depot, Connecticut 06794",Connecticut,Washington Depot,47 & 81 Kielwasser Road,06794,-73.335148,41.664623,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700008,Whippoorwill Farm,,Allen and Robin Cockerline,info@whippoorwillfarmct.com,860-435-2089,WhippoorwillFarmCT.com,https://www.facebook.com/WhippoorwillFarm,,,,,,"189 Salmon Kill Rd, Salisbury, Connecticut 06039",Connecticut,Salisbury,189 Salmon Kill Rd,06039,-73.401747,41.964324,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700780,Lost Acres Orchard,,,ginny@lostacres.com,(860) 653-6600,www.lostacres.com,,,,,,,"130 Lost Acres Road, North Granby, Connecticut 6060",Connecticut,North Granby,130 Lost Acres Road,6060,-72.861531,42.0095720,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700522,Cheney Family Farm,,Cheney Family Farm,cheneyfamilyfarm@gmail.com,860-866-8355,www.cheneyfamilyfarm.com,https://www.facebook.com/CheneyFamilyFarm?ref_type=bookmark,,,,,,"144 Mansfield Rd, Harwinton, Connecticut 06791",Connecticut,Harwinton,144 Mansfield Rd,06791,-73.100964,41.745224,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700225,Staehly Farms,,Christopher Staehly,staehlys@att.net,860-873-9774,http://www.staehlys.com/,https://www.facebook.com/Staehlys,,,,,,"278 Town Street, East Haddam, Connecticut 6423",Connecticut,East Haddam,278 Town Street,6423,-72.432965,41.453149,,
on-farm market,"Jul 6th, 2016",default-onfarmmarket-4-3.jpg,700687,The Village Farm,,Lise goedewaagen,LGoed@aol.com,860 354-7008,,The  Village Farm and World\'s Best Wreaths,,,,,,"682 Kent Rd., Gaylordsville, Connecticut 06755",Connecticut,Gaylordsville,682 Kent Rd.,06755,-73.483988,41.643795,,
on-farm market,"Jun 10th, 2016",default-onfarmmarket-4-3.jpg,700727,Raspberry Knoll Farm LLC,,Mary Concklin,mary@raspberryknoll.com,860-786-7486,www.raspberryknoll.com,www/facebook.com/raspberryknoll,,,,,,"163 North Windham Rd, North Windham, Connecticut 06256",Connecticut,North Windham,163 North Windham Rd,06256,-72.166800,41.721441,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700286,Laurel Ridge Grass Fed Beef,,John Morosani,john@lrgfb.com,860-567-8122,www.lrgfb.com,,,,,,,"66 Wigwam Road, Litchfield, Connecticut 6759",Connecticut,Litchfield,66 Wigwam Road,6759,-73.134770,41.703911,,
on-farm market,"Mar 24th, 2015",default-onfarmmarket-4-3.jpg,700584,Bishops Orchards location 1,,,pyoinfo@bishopsorchards.com,(203) 458-7425,www.bishopsorchards.com,,,,,,,"1355 Boston Post Road, Guilford, Connecticut 06437",Connecticut,Guilford,1355 Boston Post Road,06437,-72.694628,41.289406,,
on-farm market,"Mar 30th, 2022",csa_200704_10242_20220330133407.png,701652,Howling Flats Farm,"Howling Flats Farm is a small family farm in the NW Corner of Connecticut raising Certified Humane Grass fed Angus, pasture raised pork and lamb utilizing holistic management practices.",Kelley Babbin,howlingflatsfarm@gmail.com,860-379-8961,www.howlingflatsfarm.com,www.facebook.com/howlingflatsfarm,,https://www.instagram.com/howlingflatsfarmer/,,,,"19 Raymond Avenue, North Canaan, Connecticut 06018",Connecticut,North Canaan,19 Raymond Ave,06018,-73.3552462,42.0103946,Year-round,Poultry/fowl meat and products
on-farm market,"Nov 30th, 2016",default-onfarmmarket-4-3.jpg,701375,Rose Orchards,,Tyler Rose,roseorchardsfarm.com,203-488-7996,roseorchardsfarm.com,https://www.facebook.com/roseorchardsfarm/,,,,,,"33 Branford rd., North Branford, Connecticut 06471",Connecticut,North Branford,33 Branford rd.,06471,-72.771086,41.3078192,,
on-farm market,"Oct 15th, 2014",default-onfarmmarket-4-3.jpg,700157,Common Ground CSA,,Jessica & Jeffrey,commongroundcsa@gmail.com,860-316-8368,www.commongroundcsa.com,https://www.facebook.com/commongroundcsa,,,,,,"46 Lake Hayward Town Road, Colchester, Connecticut 06415",Connecticut,Colchester,46 Lake Hayward Town Road,06415,-72.337980,41.519525,,
on-farm market,"Oct 15th, 2014",default-onfarmmarket-4-3.jpg,701138,COLD SPRING FARM at Lake Hayward,,Jessica & Jeffrey,coldspringfarm@icloud.com,860-316-8368,,,,,,,,", East Haddam, Connecticut 06423",Connecticut,East Haddam,,06423,-72.475776,41.5034351,,
on-farm market,"Sep 14th, 2014",default-onfarmmarket-4-3.jpg,700494,Devon Point Farm,,Patty Taylor,devonpointfarm@gmail.com,860-974-9004,http://www.devonpointfarm.com,,,,,,,"54 Joy Road, Woodstock, Connecticut 6281",Connecticut,Woodstock,54 Joy Road,6281,-71.986364,41.955761,,
on-farm market,"Sep 16th, 2014",default-onfarmmarket-4-3.jpg,700683,Oak Haven Farm,,ROBERT BRAUTIGAM,lmsmith@snet.net,(860) 456-3333,lmsmith@snet.net,,,,,,,"113 Khourie Road, Scotland, Connecticut 06264",Connecticut,Scotland,113 Khourie Road,06264,-72.077528,41.684190,,
on-farm market,"Sep 23rd, 2014",default-onfarmmarket-4-3.jpg,701092,Holbrook Farm Market and Bakery,,Jessica Wong,jwong1817@gmail.com,203-979-1817,http://holbrookfarm.net/index.html,https://www.facebook.com/pages/Holbrook-Farm/201052823263981?ref=br_tf,,,,,,"45 Turkey Plain RD, Bethel, Connecticut 06801",Connecticut,Bethel,45 Turkey Plain RD,06801,-73.416749,41.3462840,,
on-farm market,"Sep 27th, 2014",default-onfarmmarket-4-3.jpg,701103,Mike's Beehives LLC,,Mike\'s Beehives LLC,mikesbeehives@gmail.com,2036482942,www.mikesbeehives.com,Mike\'s Beehives LLC,Mike\'s  Beehives,,,,www.mikesbeehives.com,"94 Mallory Rd, Roxbury, Connecticut 06783",Connecticut,Roxbury,94 Mallory Rd,06783,-73.291478,41.516591,,
