Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700210,The Farm at Morrison Corner,,Peter and Tamara Burke,thesheep@woolandfeathers.com,802-253-2585,http://www.WoolAndFeathers.com,,https://www.twitter.com/Outlander_Adv,,,,http://www.OutlanderAdventures.com,"Luce Hill, Mansfield, Vermont 5672",Vermont,Mansfield,Luce Hill,5672,-72.641413,44.6058024,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700576,Goulden Ridge Farm,,Rene Bergeron,rene@gouldenridgefarm.com,802-558-2082,gouldenridgefarm.com,,,,,,,"1462 Goulden Ridge Road, Weathersfield, Vermont 05156",Vermont,Weathersfield,1462 Goulden Ridge Road,05156,-72.433193,43.384782,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700862,Contented Butterfly Farm,,Jennifer Cary,contentedbutterfly@yahoo.com,802-674-6764,http://contentedbutterflyfarm.com/,https://www.facebook.com/pages/Contented-Butterfly-Farm/142144959139880,https://twitter.com/contentedsheep,,,,http://contentedbutterfly.blogspot.com/,"467 Sunset Lane, Windsor, Vermont 05089",Vermont,Windsor,467 Sunset Lane,05089,-72.413269,43.4587519,,
on-farm market,"Aug 21st, 2014",default-onfarmmarket-4-3.jpg,700870,Noah's Ark Eggs,,noah hamilton,noahjessehamilton@gmail.com,802-353-6161,,https://www.facebook.com/pages/Noahs-Ark-Eggs/351171895026492?ref=bookmarks,,,,,,"17 Burke Park Rd., Brandon, Vermont 05733",Vermont,Brandon,17 Burke Park Rd.,05733,-73.060414,43.831267,,
on-farm market,"Aug 27th, 2014",default-onfarmmarket-4-3.jpg,700501,Woodman Hill Orchard,,David Ambrose/Claudia Ambrose,david.ambrose1@gmail.com,802-989-2310/802-989,,https://www.facebook.com/pickyourownapples802,,,,,,"175 Plank Road, Vergennes, Vermont 05491",Vermont,Vergennes,175 Plank Road,05491,-73.231842,44.1632800,,
on-farm market,"Aug 31st, 2014",default-onfarmmarket-4-3.jpg,700998,Hurricane Flats,,Tom Honigford,hurricaneflats@myfairpoint.net,802-763-7446,www.hurricaneflats.com,https://www.facebook.com/HurricaneFlats,,,,,,"975 S. Windsor St, South Royalton, Vermont 05068",Vermont,South Royalton,975 S. Windsor St,05068,-72.509874,43.8096690,,
on-farm market,"Dec 3rd, 2014",default-onfarmmarket-4-3.jpg,701177,The Last Resort Farm,,Eugenie Doyle,edoyle@madriver.com,8024532847,www.lastresortfarm.com,last resort farm,,,,,,"2246 Tyler Bridge Rd., Bristol, Vermont 05443",Vermont,Bristol,2246 Tyler Bridge Rd.,05443,-73.098989,44.266250,,
on-farm market,"Feb 20th, 2015",default-onfarmmarket-4-3.jpg,700097,Mom & Pop's World's Best Vermont Maple Syrup,,Ray Gendron,info@MomAndPopsMaple.com,802-767-3731,http://www.MomAndPopsMaple.com,http://www.facebook.com/MomAndPopsMaple,http://twitter.com/MomAndPopsMaple,,,,,"3425 Brandon Mountain Road, Rochester, Vermont 05767",Vermont,Rochester,3425 Brandon Mountain Road,05767,-72.865843,43.8546987,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700069,The Farm of Milk and Honey,,Ryan Hayes,farmofmilkandhoney@gmail.com,802-685-3052,www.farmofmilkandhoney.com,https://www.facebook.com/pages/The-Farm-of-Milk-and-Honey/472558206183989,,,,,,"663 Doyle Road, Washington, Vermont 05675",Vermont,Washington,663 Doyle Road,05675,-72.454976,44.040666,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700154,Creamery Bridge Farm,,Titus Presler,titus@creamerybridgefarm.com,9173926217,Creamerybridgefarm.com,https://www.facebook.com/creamerybridgefarm,,,,,,"2534 Hill West Road, Montgomery, Vermont 05471",Vermont,Montgomery,2534 Hill West Road,05471,-72.644756,44.866276,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700535,Browns Beautiful Blueberries,,Phillip Lovely,brownlovely1@gmail.com,802 586-2202,,,,,,,,"493 Coburn Hill Road, Craftsbury, Vermont 5827",Vermont,Craftsbury,493 Coburn Hill Road,5827,-72.414330,44.6628950,,
on-farm market,"Jul 26th, 2014",default-onfarmmarket-4-3.jpg,700688,Lester Farm and Market,,Sam Lester,lesterfarm@yahoo.com,802-453-3132,contact@lesterfarmmarket.com,https://www.facebook.com/LesterFarmProduce,,,,,,"2297 Ethan Allen Highway (route 7), New Haven, Vermont 5472",Vermont,New Haven,2297 Ethan Allen Highway (route 7),5472,-73.176670,44.081882,,
on-farm market,"Jul 27th, 2014",default-onfarmmarket-4-3.jpg,700773,Burtt's Apple Orchard,,Greg Burtt,gregburtt@gmail.com,802-917-2614,www.burttsappleorchard.com,www.facebook.com/burtts.appleorchard,,,,,,"283 Cabot Plains Rd, Cabot, Vermont 5647",Vermont,Cabot,283 Cabot Plains Rd,5647,-72.291750,44.420976,,
on-farm market,"Jul 28th, 2014",default-onfarmmarket-4-3.jpg,700573,Morse Hillside Farm,,Reginald A Morse,rmorse@morsehillsidefarm.com,802-878-3096,www Morse  Hillside Farm .com,https://www.facebook.com/pages/Morse-Hillside-Farm/116904021679356,,,,,,"681 Osgood Hill Road, Westford, Vermont 5494",Vermont,Westford,681 Osgood Hill Road,5494,-72.999891,44.564191,,
on-farm market,"Jul 30th, 2014",default-onfarmmarket-4-3.jpg,700272,Square Deal Farm,,Ray Lewis,mail@squaredealfarm.org,802-563-2441,squaredealfarm.org,,,,,,,"362 Woodward Road, Walden, Vermont 05843",Vermont,Walden,362 Woodward Road,05843,-72.102151,44.4646851,,
on-farm market,"Jul 31st, 2014",default-onfarmmarket-4-3.jpg,700010,Wandering Moose Farms,,Jennifer Wright,wanderingmoosefarms@franklinvt.net,802-285-6844,http://wanderingmoosefarms.com,https://www.facebook.com/WanderingMooseFarms,,,,,http://wanderingmoosefarms.blogspot.com,"1579 Riley Rd, Franklin, Vermont 05457",Vermont,Franklin,1579 Riley Rd,05457,-72.895470,44.9637490,,
on-farm market,"Mar 23rd, 2015",default-onfarmmarket-4-3.jpg,700248,Burelli Farm,,Peter Burmeister,peter@burellifarm.com,802-224-9049,www.burellifarm.com,,,,,,,"567 Muzzy Road, Berlin, Vermont 05602",Vermont,Berlin,567 Muzzy Road,05602,-72.640011,44.210772,,
on-farm market,"Nov 11th, 2014",default-onfarmmarket-4-3.jpg,700135,Gozzard City at Provender Farm,,Wesley Bascom,wbascom@gmail.com,8022741420,getyourgoose.com,https://www.facebook.com/gozzardcity,,,,,,"34 Langone Road, Cabot, Vermont 5647",Vermont,Cabot,34 Langone Road,5647,-72.290145,44.4086150,,
on-farm market,"Nov 8th, 2014",default-onfarmmarket-4-3.jpg,700792,Adams Farm and Meat Processing Shop,,ADAMS FARM,wiggy01@me.com,802-464-3762,http://adamsfamilyfarm.com,https://www.facebook.com/pages/Adams-Farm-Wilmington-Vermont/69664848032,,,,,,"15 Higley Hill, Wilmington, Vermont 05363",Vermont,Wilmington,15 Higley Hill,05363,-72.849808,42.9048500,,
on-farm market,"Sep 21st, 2014",default-onfarmmarket-4-3.jpg,700473,Random Gardens,,Steve Gallagher,,802-371-9808,http://www.randomgardens.com/,,,,,,,"177 Random Road, Calais, Vermont 5648",Vermont,Calais,177 Random Road,5648,-72.490576,44.393099,,
