Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
on-farm market,"Apr 14th, 2022",onfarmmarket_700899_13144_20220414121248.png,700899,Skelly's Farm Market,"Skelly\'s Farm Market is open from June-Oct with homegrown strawberries in June, sweet corn, melons, tomatoes, and other summer produce in July-Aug, Skelly\'s Sunflower Experience in late July lasting two weeks, and lots of fall fun including pumpkins, two awesome corn mazes, Choose-Your-Farm-Adventure wagons rides, and more. Plus, during all of our seasons visit our bakery with homemade donuts and more, our huge gift shop selling rustic decor, and our fantastic free playground.

Plus, visit our 8 remote roadside stands for produce in July-Aug, an see us at the Saturday Janesville Farmers Market.",,,608-757-1200,www.skellysfarmmarket.com,www.facebook.com/skellysfarmmarket,https://twitter.com/skellysfarm,https://instagram.com/skellysfarm,https://www.pinterest.com/skellysfarm,,,"2713 Hayner Road, Janesville, Wisconsin 53548",Wisconsin,Janesville,2713 Hayner Road,53548,-89.080485,42.641113,,
on-farm market,"Apr 17th, 2019",default-onfarmmarket-4-3.jpg,701478,Valhalla Hills LLC,,Geoff Briggs,valhallahillsfarm@gmail.com,608-322-7550,,,,,,,,"74 County Road F, Blanchardville, Wisconsin 53516",Wisconsin,Blanchardville,74 County Road F,53516,-89.865292,42.817160,,
on-farm market,"Apr 22nd, 2015",default-onfarmmarket-4-3.jpg,700979,Scotch and Soda Acres,,greg,gregsz2001@yahoo.com,715-302-2311,,,,,,,,"4958 thomas hill rd, edgar, Wisconsin 54426",Wisconsin,edgar,4958 thomas hill rd,54426,-89.949112,44.920106,,
on-farm market,"Apr 4th, 2016",default-onfarmmarket-4-3.jpg,701323,Schott Farm,,Labecca Schott,labecca.johnson@me.com,507-495-4352,http://schottfarm.com/,,,,,,,"711 Railroad Avenue, Viroqua, Wisconsin 54665",Wisconsin,Viroqua,711 Railroad Avenue,54665,-90.878455,43.5619804,,
on-farm market,"Aug 13th, 2014",default-onfarmmarket-4-3.jpg,700737,Elegant Farmer,,,info@elegantfarmer.com,262-363-6770,,,,,,,,"1545 Main Street, Mukwonago, Wisconsin 53149",Wisconsin,Mukwonago,1545 Main Street,53149,-88.3444,42.841521,,
on-farm market,"Aug 24th, 2014",default-onfarmmarket-4-3.jpg,700909,Field to Fork Farm and Market,,Peter Bakke,fieldtoforkfarms@wi.rr.com,2625248263,www.fieldtoforkfarms.com,https://www.facebook.com/pages/Field-To-Fork-Farms/444165995616374?ref=hl,,,,,,"1500 S Springdale Road, Waukesha, Wisconsin 53186",Wisconsin,Waukesha,1500 S Springdale Road,53186,-88.185068,43.0159300,,
on-farm market,"Aug 25th, 2014",default-onfarmmarket-4-3.jpg,700932,"Rushing Waters Fisheries, LLC",,Peter J. Fritsch,peterf@rushingwaters.net,262-495-2089,www.rushingwaters.net,,,,,,,"N301 County Rd. H / PO Box H, Palmyra, Wisconsin 53156",Wisconsin,Palmyra,N301 County Rd. H / PO Box H,53156,-88.609618,42.854952,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700304,Sassy Cow Creamery,,Kara Kasten,info@sassycowcreamery.com,608-837-7766,www.sassycowcreamery.com,https://www.facebook.com/pages/Sassy-Cow-Creamery/53518889031,,,,,,"W4192 Bristol Rd, Columbus, Wisconsin 53925",Wisconsin,Columbus,W4192 Bristol Rd,53925,-89.211417,43.282549,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700547,Blue Ridge Growers Orchard Nursery,,Jill Barthen Berke,blueridge@baldwin-telecom.net,715 425 8289,www.facebook.com/WIFarmFreshAtlas,https://www.facebook.com/WIFarmFreshAtlas,,,,,,"246 Carlson Lane, River Falls, Wisconsin 54022",Wisconsin,River Falls,246 Carlson Lane,54022,-92.709957,44.895888,,
on-farm market,"Aug 26th, 2014",default-onfarmmarket-4-3.jpg,700615,Oakridge Farms,,Jodi Schultz,oakridgeberries@gmail.com,920-725-1541,http://oakridgeberries.com/,https://www.facebook.com/pages/Oakridge-Farms/80596262554,https://twitter.com/oakridgeberries,,,,http://oakridgeberries.com/blog,"125 County Road CB, Neenah, Wisconsin 54956",Wisconsin,Neenah,125 County Road CB,54956,-88.504904,44.179237,,
